dataset,layer_name,cosine_similarity,type,mode
Cars,0_attn_q,0.7344120740890503,cross,true
Cars,0_attn_q,0.050850868225097656,cross,ctrl
Cars,0_attn_q,0.4601030647754669,corr,true
Cars,0_attn_q,0.08325495570898056,corr,ctrl
Cars,3_attn_v,0.982631266117096,cross,true
Cars,3_attn_v,0.06743554025888443,cross,ctrl
Cars,3_attn_v,0.6984826326370239,corr,true
Cars,3_attn_v,0.06834211200475693,corr,ctrl
Cars,6_mlp_c_proj,0.9769022464752197,cross,true
Cars,6_mlp_c_proj,0.029578808695077896,cross,ctrl
Cars,6_mlp_c_proj,0.8664882183074951,corr,true
Cars,6_mlp_c_proj,0.03943626210093498,corr,ctrl
Cars,10_attn_k,0.9376306533813477,cross,true
Cars,10_attn_k,0.11293704062700272,cross,ctrl
Cars,10_attn_k,0.6066592931747437,corr,true
Cars,10_attn_k,0.1302943229675293,corr,ctrl
Cars,13_mlp_c_fc,0.9956200122833252,cross,true
Cars,13_mlp_c_fc,0.04489492252469063,cross,ctrl
Cars,13_mlp_c_fc,0.7663010954856873,corr,true
Cars,13_mlp_c_fc,0.050554536283016205,corr,ctrl
Cars,17_attn_q,0.9735511541366577,cross,true
Cars,17_attn_q,0.05590318888425827,cross,ctrl
Cars,17_attn_q,0.4638776183128357,corr,true
Cars,17_attn_q,0.061151713132858276,corr,ctrl
Cars,20_attn_o,0.9788671135902405,cross,true
Cars,20_attn_o,0.05163895711302757,cross,ctrl
Cars,20_attn_o,0.4447768032550812,corr,true
Cars,20_attn_o,0.056320082396268845,corr,ctrl
Cars,23_mlp_c_proj,0.9866964221000671,cross,true
Cars,23_mlp_c_proj,0.014855209738016129,cross,ctrl
Cars,23_mlp_c_proj,0.30276167392730713,corr,true
Cars,23_mlp_c_proj,0.016538389027118683,corr,ctrl
DTD,0_attn_q,0.6887060403823853,cross,true
DTD,0_attn_q,0.048866380006074905,cross,ctrl
DTD,0_attn_q,0.3641180098056793,corr,true
DTD,0_attn_q,0.08604336529970169,corr,ctrl
DTD,3_attn_v,0.9755551218986511,cross,true
DTD,3_attn_v,0.06045565381646156,cross,ctrl
DTD,3_attn_v,0.6053237915039062,corr,true
DTD,3_attn_v,0.0664764791727066,corr,ctrl
DTD,6_mlp_c_proj,0.9955565929412842,cross,true
DTD,6_mlp_c_proj,0.02481190487742424,cross,ctrl
DTD,6_mlp_c_proj,0.934547483921051,corr,true
DTD,6_mlp_c_proj,0.026796454563736916,corr,ctrl
DTD,10_attn_k,0.9420652985572815,cross,true
DTD,10_attn_k,0.095091313123703,cross,ctrl
DTD,10_attn_k,0.6177329421043396,corr,true
DTD,10_attn_k,0.10501737147569656,corr,ctrl
DTD,13_mlp_c_fc,0.9930673837661743,cross,true
DTD,13_mlp_c_fc,0.0505465604364872,cross,ctrl
DTD,13_mlp_c_fc,0.7914185523986816,corr,true
DTD,13_mlp_c_fc,0.05359258875250816,corr,ctrl
DTD,17_attn_q,0.8252543807029724,cross,true
DTD,17_attn_q,0.05099023878574371,cross,ctrl
