model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,identity,transformer.encoder.block.4.layer.0.SelfAttention.k.weight,25,cosine_similarity,0.2375197857618332,768,768
t5-base,actmat,transformer.encoder.block.4.layer.0.SelfAttention.v.weight,26,cosine_similarity,0.5804736614227295,768,768
t5-base,identity,transformer.encoder.block.4.layer.0.SelfAttention.v.weight,26,cosine_similarity,0.2375197857618332,768,768
t5-base,actmat,transformer.encoder.block.4.layer.0.SelfAttention.o.weight,27,cosine_similarity,0.519520103931427,768,768
t5-base,identity,transformer.encoder.block.4.layer.0.SelfAttention.o.weight,27,cosine_similarity,0.11361116170883179,768,768
t5-base,actmat,transformer.encoder.block.4.layer.1.DenseReluDense.wi.weight,28,cosine_similarity,0.4330446720123291,768,3072
t5-base,identity,transformer.encoder.block.4.layer.1.DenseReluDense.wi.weight,28,cosine_similarity,0.09112091362476349,768,3072
t5-base,actmat,transformer.encoder.block.4.layer.1.DenseReluDense.wo.weight,29,cosine_similarity,0.020591655746102333,3072,768
t5-base,identity,transformer.encoder.block.4.layer.1.DenseReluDense.wo.weight,29,cosine_similarity,0.030813928693532944,3072,768
t5-base,actmat,transformer.encoder.block.5.layer.0.SelfAttention.q.weight,30,cosine_similarity,0.5504297614097595,768,768
t5-base,identity,transformer.encoder.block.5.layer.0.SelfAttention.q.weight,30,cosine_similarity,0.22032153606414795,768,768
t5-base,actmat,transformer.encoder.block.5.layer.0.SelfAttention.k.weight,31,cosine_similarity,0.5000519752502441,768,768
t5-base,identity,transformer.encoder.block.5.layer.0.SelfAttention.k.weight,31,cosine_similarity,0.22032153606414795,768,768
t5-base,actmat,transformer.encoder.block.5.layer.0.SelfAttention.v.weight,32,cosine_similarity,0.6049904227256775,768,768
t5-base,identity,transformer.encoder.block.5.layer.0.SelfAttention.v.weight,32,cosine_similarity,0.22032153606414795,768,768
t5-base,actmat,transformer.encoder.block.5.layer.0.SelfAttention.o.weight,33,cosine_similarity,0.5757139921188354,768,768
t5-base,identity,transformer.encoder.block.5.layer.0.SelfAttention.o.weight,33,cosine_similarity,0.127638578414917,768,768
t5-base,actmat,transformer.encoder.block.5.layer.1.DenseReluDense.wi.weight,34,cosine_similarity,0.4525373578071594,768,3072
t5-base,identity,transformer.encoder.block.5.layer.1.DenseReluDense.wi.weight,34,cosine_similarity,0.09320386499166489,768,3072
t5-base,actmat,transformer.encoder.block.5.layer.1.DenseReluDense.wo.weight,35,cosine_similarity,0.04995054379105568,3072,768
t5-base,identity,transformer.encoder.block.5.layer.1.DenseReluDense.wo.weight,35,cosine_similarity,0.04592140391469002,3072,768
t5-base,actmat,transformer.encoder.block.6.layer.0.SelfAttention.q.weight,36,cosine_similarity,0.5595199465751648,768,768
t5-base,identity,transformer.encoder.block.6.layer.0.SelfAttention.q.weight,36,cosine_similarity,0.2172001600265503,768,768
t5-base,actmat,transformer.encoder.block.6.layer.0.SelfAttention.k.weight,37,cosine_similarity,0.5194416046142578,768,768
t5-base,identity,transformer.encoder.block.6.layer.0.SelfAttention.k.weight,37,cosine_similarity,0.2172001600265503,768,768
t5-base,actmat,transformer.encoder.block.6.layer.0.SelfAttention.v.weight,38,cosine_similarity,0.6152826547622681,768,768
t5-base,identity,transformer.encoder.block.6.layer.0.SelfAttention.v.weight,38,cosine_similarity,0.2172001600265503,768,768
t5-base,actmat,transformer.encoder.block.6.layer.0.SelfAttention.o.weight,39,cosine_similarity,0.5396382212638855,768,768
t5-base,identity,transformer.encoder.block.6.layer.0.SelfAttention.o.weight,39,cosine_similarity,0.11527369171380997,768,768
t5-base,actmat,transformer.encoder.block.6.layer.1.DenseReluDense.wi.weight,40,cosine_similarity,0.4578731060028076,768,3072
t5-base,identity,transformer.encoder.block.6.layer.1.DenseReluDense.wi.weight,40,cosine_similarity,0.09246864914894104,768,3072
t5-base,actmat,transformer.encoder.block.6.layer.1.DenseReluDense.wo.weight,41,cosine_similarity,0.07543646544218063,3072,768
t5-base,identity,transformer.encoder.block.6.layer.1.DenseReluDense.wo.weight,41,cosine_similarity,0.061200208961963654,3072,768
t5-base,actmat,transformer.encoder.block.7.layer.0.SelfAttention.q.weight,42,cosine_similarity,0.5160068869590759,768,768
t5-base,identity,transformer.encoder.block.7.layer.0.SelfAttention.q.weight,42,cosine_similarity,0.20366604626178741,768,768
t5-base,actmat,transformer.encoder.block.7.layer.0.SelfAttention.k.weight,43,cosine_similarity,0.4964791536331177,768,768
t5-base,identity,transformer.encoder.block.7.layer.0.SelfAttention.k.weight,43,cosine_similarity,0.20366604626178741,768,768
t5-base,actmat,transformer.encoder.block.7.layer.0.SelfAttention.v.weight,44,cosine_similarity,0.5534480214118958,768,768
t5-base,identity,transformer.encoder.block.7.layer.0.SelfAttention.v.weight,44,cosine_similarity,0.20366604626178741,768,768
t5-base,actmat,transformer.encoder.block.7.layer.0.SelfAttention.o.weight,45,cosine_similarity,0.4920066297054291,768,768
t5-base,identity,transformer.encoder.block.7.layer.0.SelfAttention.o.weight,45,cosine_similarity,0.09672542661428452,768,768
t5-base,actmat,transformer.encoder.block.7.layer.1.DenseReluDense.wi.weight,46,cosine_similarity,0.43829572200775146,768,3072
t5-base,identity,transformer.encoder.block.7.layer.1.DenseReluDense.wi.weight,46,cosine_similarity,0.08614541590213776,768,3072
t5-base,actmat,transformer.encoder.block.7.layer.1.DenseReluDense.wo.weight,47,cosine_similarity,0.0843615010380745,3072,768
