model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,inv_cosine_similarity,1.0000001192092896,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,l2_error,0.0,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,inv_l2_error,0.0,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,rel_l2_error,0.0,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,inv_rel_l2_error,0.0,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,rm_loss,65.36074829101562,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,angular_rm_loss,0.48565590381622314,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,cosine_similarity,0.21497084200382233,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,inv_cosine_similarity,0.5377951264381409,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,l2_error,108.89356994628906,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,inv_l2_error,43.5195426940918,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,rel_l2_error,0.9812870025634766,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.k.weight,1,inv_rel_l2_error,0.9560431838035583,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,rm_loss,105.81181335449219,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,angular_rm_loss,0.505327582359314,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,cosine_similarity,0.595427393913269,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,inv_cosine_similarity,0.552647590637207,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,l2_error,110.92695617675781,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,inv_l2_error,36598.515625,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,rel_l2_error,0.9987515211105347,768,768
t5-base,actmat,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,inv_rel_l2_error,804.0011596679688,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,rm_loss,90.74560546875,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,angular_rm_loss,0.5267563462257385,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,cosine_similarity,0.595427393913269,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,inv_cosine_similarity,0.5377951264381409,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,l2_error,110.92695617675781,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,inv_l2_error,43.5195426940918,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,rel_l2_error,0.9987515211105347,768,768
t5-base,actmat-identity-inv,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,inv_rel_l2_error,0.9560431838035583,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,rm_loss,51.273292541503906,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,angular_rm_loss,0.3268793523311615,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,cosine_similarity,1.0,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,inv_cosine_similarity,1.0000001192092896,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,l2_error,0.0,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,inv_l2_error,0.0,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,rel_l2_error,0.0,768,768
t5-base,regmean,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,inv_rel_l2_error,0.0,768,768
t5-base,identity,transformer.encoder.block.0.layer.0.SelfAttention.v.weight,2,rm_loss,64.84419250488281,768,768
