dataset,layer_name,cosine_similarity,type,mode
Cars,model_visual_transformer_resblocks_11_mlp_c_proj,0.9710333943367004,cross,true
Cars,model_visual_transformer_resblocks_11_mlp_c_proj,0.21728426218032837,corr,true
Cars,model_visual_transformer_resblocks_11_mlp_c_proj,0.9730219841003418,drift,true
Cars,model_visual_transformer_resblocks_11_mlp_c_proj,0.17981185019016266,tot,true
Cars,model_visual_transformer_resblocks_11_mlp_c_proj,0.022352542728185654,cross,ctrl
Cars,model_visual_transformer_resblocks_11_mlp_c_proj,0.022782139480113983,corr,ctrl
Cars,model_visual_transformer_resblocks_3_attn_v,0.9909090399742126,cross,true
Cars,model_visual_transformer_resblocks_3_attn_v,0.5238274335861206,corr,true
Cars,model_visual_transformer_resblocks_3_attn_v,0.9645984768867493,drift,true
Cars,model_visual_transformer_resblocks_3_attn_v,0.4959183931350708,tot,true
Cars,model_visual_transformer_resblocks_3_attn_v,0.06016469746828079,cross,ctrl
Cars,model_visual_transformer_resblocks_3_attn_v,0.06123226881027222,corr,ctrl
Cars,model_visual_transformer_resblocks_8_attn_o,0.9520087838172913,cross,true
Cars,model_visual_transformer_resblocks_8_attn_o,0.9116984009742737,corr,true
Cars,model_visual_transformer_resblocks_8_attn_o,0.890680193901062,drift,true
Cars,model_visual_transformer_resblocks_8_attn_o,0.7403112053871155,tot,true
Cars,model_visual_transformer_resblocks_8_attn_o,0.05470180884003639,cross,ctrl
Cars,model_visual_transformer_resblocks_8_attn_o,0.0498177707195282,corr,ctrl
Cars,model_visual_transformer_resblocks_1_mlp_c_fc,0.9589671492576599,cross,true
Cars,model_visual_transformer_resblocks_1_mlp_c_fc,0.46658700704574585,corr,true
Cars,model_visual_transformer_resblocks_1_mlp_c_fc,0.9774127006530762,drift,true
Cars,model_visual_transformer_resblocks_1_mlp_c_fc,0.28274962306022644,tot,true
Cars,model_visual_transformer_resblocks_1_mlp_c_fc,0.06784239411354065,cross,ctrl
Cars,model_visual_transformer_resblocks_1_mlp_c_fc,0.09029041975736618,corr,ctrl
Cars,model_visual_transformer_resblocks_5_attn_q,0.8309869766235352,cross,true
Cars,model_visual_transformer_resblocks_5_attn_q,0.8285712599754333,corr,true
Cars,model_visual_transformer_resblocks_5_attn_q,0.9801957011222839,drift,true
Cars,model_visual_transformer_resblocks_5_attn_q,0.6585748195648193,tot,true
Cars,model_visual_transformer_resblocks_5_attn_q,0.10413636267185211,cross,ctrl
Cars,model_visual_transformer_resblocks_5_attn_q,0.13226239383220673,corr,ctrl
Cars,model_visual_transformer_resblocks_0_attn_q,0.24023735523223877,cross,true
Cars,model_visual_transformer_resblocks_0_attn_q,0.668239414691925,corr,true
Cars,model_visual_transformer_resblocks_0_attn_q,0.9314995408058167,drift,true
Cars,model_visual_transformer_resblocks_0_attn_q,0.16540689766407013,tot,true
Cars,model_visual_transformer_resblocks_0_attn_q,0.04769267141819,cross,ctrl
Cars,model_visual_transformer_resblocks_0_attn_q,0.14326079189777374,corr,ctrl
Cars,model_visual_transformer_resblocks_10_attn_k,0.9072688221931458,cross,true
Cars,model_visual_transformer_resblocks_10_attn_k,0.6190477013587952,corr,true
Cars,model_visual_transformer_resblocks_10_attn_k,0.9649945497512817,drift,true
Cars,model_visual_transformer_resblocks_10_attn_k,0.47507208585739136,tot,true
Cars,model_visual_transformer_resblocks_10_attn_k,0.057818226516246796,cross,ctrl
Cars,model_visual_transformer_resblocks_10_attn_k,0.0708669051527977,corr,ctrl
Cars,model_visual_transformer_resblocks_6_mlp_c_proj,0.9622611403465271,cross,true
Cars,model_visual_transformer_resblocks_6_mlp_c_proj,0.5659478306770325,corr,true
Cars,model_visual_transformer_resblocks_6_mlp_c_proj,0.9950912594795227,drift,true
Cars,model_visual_transformer_resblocks_6_mlp_c_proj,0.5592061877250671,tot,true
Cars,model_visual_transformer_resblocks_6_mlp_c_proj,0.031254976987838745,cross,ctrl
Cars,model_visual_transformer_resblocks_6_mlp_c_proj,0.032473865896463394,corr,ctrl
DTD,model_visual_transformer_resblocks_3_attn_v,0.9848204255104065,cross,true
DTD,model_visual_transformer_resblocks_3_attn_v,0.5515710115432739,corr,true
DTD,model_visual_transformer_resblocks_3_attn_v,0.9567365646362305,drift,true
DTD,model_visual_transformer_resblocks_3_attn_v,0.5331023335456848,tot,true
DTD,model_visual_transformer_resblocks_3_attn_v,0.06378217786550522,cross,ctrl
DTD,model_visual_transformer_resblocks_3_attn_v,0.06711471825838089,corr,ctrl
DTD,model_visual_transformer_resblocks_0_attn_q,0.5908268690109253,cross,true
DTD,model_visual_transformer_resblocks_0_attn_q,0.6761240363121033,corr,true
DTD,model_visual_transformer_resblocks_0_attn_q,0.9577223062515259,drift,true
DTD,model_visual_transformer_resblocks_0_attn_q,0.2569909393787384,tot,true
DTD,model_visual_transformer_resblocks_0_attn_q,0.033159054815769196,cross,ctrl
DTD,model_visual_transformer_resblocks_0_attn_q,0.12758855521678925,corr,ctrl
DTD,model_visual_transformer_resblocks_10_attn_k,0.9069428443908691,cross,true
DTD,model_visual_transformer_resblocks_10_attn_k,0.8058660626411438,corr,true
DTD,model_visual_transformer_resblocks_10_attn_k,0.9137948751449585,drift,true
