dataset,layer_name,cosine_similarity,type,mode
Cars,0_attn_q,0.6261386871337891,cross,true
Cars,0_attn_q,0.07515565305948257,cross,ctrl
Cars,0_attn_q,0.5827681422233582,corr,true
Cars,0_attn_q,0.11689282208681107,corr,ctrl
Cars,3_attn_v,0.955669105052948,cross,true
Cars,3_attn_v,0.07257866114377975,cross,ctrl
Cars,3_attn_v,0.7832238674163818,corr,true
Cars,3_attn_v,0.07935897260904312,corr,ctrl
Cars,6_mlp_c_proj,0.9478799104690552,cross,true
Cars,6_mlp_c_proj,0.0397619791328907,cross,ctrl
Cars,6_mlp_c_proj,0.9706751108169556,corr,true
Cars,6_mlp_c_proj,0.05474350228905678,corr,ctrl
Cars,10_attn_k,0.851595938205719,cross,true
Cars,10_attn_k,0.12408170849084854,cross,ctrl
Cars,10_attn_k,0.7260522246360779,corr,true
Cars,10_attn_k,0.14430953562259674,corr,ctrl
Cars,13_mlp_c_fc,0.9828823804855347,cross,true
Cars,13_mlp_c_fc,0.05553906410932541,cross,ctrl
Cars,13_mlp_c_fc,0.8372874855995178,corr,true
Cars,13_mlp_c_fc,0.06103082001209259,corr,ctrl
Cars,17_attn_q,0.9314013719558716,cross,true
Cars,17_attn_q,0.06473696976900101,cross,ctrl
Cars,17_attn_q,0.5732693672180176,corr,true
Cars,17_attn_q,0.06991583108901978,corr,ctrl
Cars,20_attn_o,0.9087516069412231,cross,true
Cars,20_attn_o,0.09504161775112152,cross,ctrl
Cars,20_attn_o,0.5431515574455261,corr,true
Cars,20_attn_o,0.10118605196475983,corr,ctrl
Cars,23_mlp_c_proj,0.9679970741271973,cross,true
Cars,23_mlp_c_proj,0.020184030756354332,cross,ctrl
Cars,23_mlp_c_proj,0.3509152829647064,corr,true
Cars,23_mlp_c_proj,0.021817924454808235,corr,ctrl
DTD,0_attn_q,0.2638970911502838,cross,true
DTD,0_attn_q,0.05789376050233841,cross,ctrl
DTD,0_attn_q,0.6832821369171143,corr,true
DTD,0_attn_q,0.1981559544801712,corr,ctrl
DTD,3_attn_v,0.9660242199897766,cross,true
DTD,3_attn_v,0.0608975887298584,cross,ctrl
DTD,3_attn_v,0.6092305779457092,corr,true
DTD,3_attn_v,0.06863581389188766,corr,ctrl
DTD,6_mlp_c_proj,0.9853842258453369,cross,true
DTD,6_mlp_c_proj,0.029673680663108826,cross,ctrl
DTD,6_mlp_c_proj,0.993293046951294,corr,true
DTD,6_mlp_c_proj,0.03586588427424431,corr,ctrl
DTD,10_attn_k,0.8650480508804321,cross,true
DTD,10_attn_k,0.11992999911308289,cross,ctrl
DTD,10_attn_k,0.6063875555992126,corr,true
DTD,10_attn_k,0.11490248888731003,corr,ctrl
DTD,13_mlp_c_fc,0.9862845540046692,cross,true
DTD,13_mlp_c_fc,0.06966645270586014,cross,ctrl
DTD,13_mlp_c_fc,0.925875186920166,corr,true
DTD,13_mlp_c_fc,0.08044751733541489,corr,ctrl
DTD,17_attn_q,0.7190906405448914,cross,true
DTD,17_attn_q,0.05660489201545715,cross,ctrl
DTD,17_attn_q,0.7251085638999939,corr,true
DTD,17_attn_q,0.10822834074497223,corr,ctrl
DTD,20_attn_o,0.8645361065864563,cross,true
DTD,20_attn_o,0.11816490441560745,cross,ctrl
DTD,20_attn_o,0.722022533416748,corr,true
DTD,20_attn_o,0.18050344288349152,corr,ctrl
DTD,23_mlp_c_proj,0.9669727683067322,cross,true
DTD,23_mlp_c_proj,0.019970089197158813,cross,ctrl
DTD,23_mlp_c_proj,0.5715495347976685,corr,true
DTD,23_mlp_c_proj,0.023202629759907722,corr,ctrl
EuroSAT,0_attn_q,0.5111483931541443,cross,true
EuroSAT,0_attn_q,0.03104681335389614,cross,ctrl
EuroSAT,0_attn_q,0.6481897234916687,corr,true
EuroSAT,0_attn_q,0.07201685011386871,corr,ctrl
EuroSAT,3_attn_v,0.9000388979911804,cross,true
EuroSAT,3_attn_v,0.05025589466094971,cross,ctrl
EuroSAT,3_attn_v,0.7662886381149292,corr,true
EuroSAT,3_attn_v,0.06599452346563339,corr,ctrl
EuroSAT,6_mlp_c_proj,0.9737251400947571,cross,true
EuroSAT,6_mlp_c_proj,0.019175726920366287,cross,ctrl
EuroSAT,6_mlp_c_proj,0.9488926529884338,corr,true
EuroSAT,6_mlp_c_proj,0.02423206716775894,corr,ctrl
EuroSAT,10_attn_k,0.8863250017166138,cross,true
EuroSAT,10_attn_k,0.05435533821582794,cross,ctrl
EuroSAT,10_attn_k,0.5508712530136108,corr,true
EuroSAT,10_attn_k,0.0955168753862381,corr,ctrl
EuroSAT,13_mlp_c_fc,0.8944350481033325,cross,true
EuroSAT,13_mlp_c_fc,0.04809737205505371,cross,ctrl
EuroSAT,13_mlp_c_fc,0.8991308212280273,corr,true
EuroSAT,13_mlp_c_fc,0.05162596330046654,corr,ctrl
EuroSAT,17_attn_q,0.816713809967041,cross,true
EuroSAT,17_attn_q,0.0532691664993763,cross,ctrl
EuroSAT,17_attn_q,0.6937381029129028,corr,true
EuroSAT,17_attn_q,0.0640004426240921,corr,ctrl
EuroSAT,20_attn_o,0.7678329348564148,cross,true
EuroSAT,20_attn_o,0.07906793057918549,cross,ctrl
EuroSAT,20_attn_o,0.7224522233009338,corr,true
EuroSAT,20_attn_o,0.0880778431892395,corr,ctrl
EuroSAT,23_mlp_c_proj,0.8142030835151672,cross,true
EuroSAT,23_mlp_c_proj,0.014714542776346207,cross,ctrl
EuroSAT,23_mlp_c_proj,0.5393189191818237,corr,true
EuroSAT,23_mlp_c_proj,0.018510157242417336,corr,ctrl
