dataset,layer_name,cosine_similarity,type,mode
Cars,0_attn_q,0.49964794516563416,cross,true
Cars,0_attn_q,0.04938840493559837,cross,ctrl
Cars,0_attn_q,0.6940776109695435,corr,true
Cars,0_attn_q,0.14291857182979584,corr,ctrl
Cars,1_mlp_c_fc,0.9535892605781555,cross,true
Cars,1_mlp_c_fc,0.04488097503781319,cross,ctrl
Cars,1_mlp_c_fc,0.45611655712127686,corr,true
Cars,1_mlp_c_fc,0.09078390896320343,corr,ctrl
Cars,3_attn_v,0.9935420751571655,cross,true
Cars,3_attn_v,0.05042717605829239,cross,ctrl
Cars,3_attn_v,0.5248279571533203,corr,true
Cars,3_attn_v,0.06137369945645332,corr,ctrl
Cars,5_attn_q,0.8656812310218811,cross,true
Cars,5_attn_q,0.0797666683793068,cross,ctrl
Cars,5_attn_q,0.8324156999588013,corr,true
Cars,5_attn_q,0.1278148889541626,corr,ctrl
Cars,6_mlp_c_proj,0.9688003659248352,cross,true
Cars,6_mlp_c_proj,0.026088429614901543,cross,ctrl
Cars,6_mlp_c_proj,0.5737317800521851,corr,true
Cars,6_mlp_c_proj,0.032404955476522446,corr,ctrl
Cars,8_attn_o,0.9630317687988281,cross,true
Cars,8_attn_o,0.05030499026179314,cross,ctrl
Cars,8_attn_o,0.9275618195533752,corr,true
Cars,8_attn_o,0.046889983117580414,corr,ctrl
Cars,10_attn_k,0.9382237195968628,cross,true
Cars,10_attn_k,0.046943359076976776,cross,ctrl
Cars,10_attn_k,0.6529871821403503,corr,true
Cars,10_attn_k,0.06742668151855469,corr,ctrl
Cars,11_mlp_c_proj,0.9733030200004578,cross,true
Cars,11_mlp_c_proj,0.020257936790585518,cross,ctrl
Cars,11_mlp_c_proj,0.20816670358181,corr,true
Cars,11_mlp_c_proj,0.022173259407281876,corr,ctrl
DTD,0_attn_q,0.6048277020454407,cross,true
DTD,0_attn_q,0.02893468178808689,cross,ctrl
DTD,0_attn_q,0.6606866121292114,corr,true
DTD,0_attn_q,0.12351509928703308,corr,ctrl
DTD,1_mlp_c_fc,0.9666354656219482,cross,true
DTD,1_mlp_c_fc,0.04887193813920021,cross,ctrl
DTD,1_mlp_c_fc,0.47301483154296875,corr,true
DTD,1_mlp_c_fc,0.07665809988975525,corr,ctrl
DTD,3_attn_v,0.9902621507644653,cross,true
DTD,3_attn_v,0.050035491585731506,cross,ctrl
DTD,3_attn_v,0.556607186794281,corr,true
DTD,3_attn_v,0.06944385170936584,corr,ctrl
DTD,5_attn_q,0.7666984796524048,cross,true
DTD,5_attn_q,0.06370069086551666,cross,ctrl
DTD,5_attn_q,0.7016463279724121,corr,true
DTD,5_attn_q,0.11395085602998734,corr,ctrl
DTD,6_mlp_c_proj,0.952778160572052,cross,true
DTD,6_mlp_c_proj,0.026544051244854927,cross,ctrl
DTD,6_mlp_c_proj,0.7654518485069275,corr,true
DTD,6_mlp_c_proj,0.03517559915781021,corr,ctrl
DTD,8_attn_o,0.9394960403442383,cross,true
DTD,8_attn_o,0.07237832248210907,cross,ctrl
DTD,8_attn_o,0.963056743144989,corr,true
DTD,8_attn_o,0.10327273607254028,corr,ctrl
DTD,10_attn_k,0.9175905585289001,cross,true
DTD,10_attn_k,0.03389546647667885,cross,ctrl
DTD,10_attn_k,0.8167119026184082,corr,true
DTD,10_attn_k,0.058835845440626144,corr,ctrl
DTD,11_mlp_c_proj,0.9780476093292236,cross,true
DTD,11_mlp_c_proj,0.017207730561494827,cross,ctrl
DTD,11_mlp_c_proj,0.2980944812297821,corr,true
DTD,11_mlp_c_proj,0.021381346508860588,corr,ctrl
EuroSAT,0_attn_q,0.7312536835670471,cross,true
EuroSAT,0_attn_q,0.048585422337055206,cross,ctrl
EuroSAT,0_attn_q,0.808862566947937,corr,true
EuroSAT,0_attn_q,0.06589934229850769,corr,ctrl
EuroSAT,1_mlp_c_fc,0.9524028301239014,cross,true
EuroSAT,1_mlp_c_fc,0.03716195002198219,cross,ctrl
EuroSAT,1_mlp_c_fc,0.9216817021369934,corr,true
EuroSAT,1_mlp_c_fc,0.053247831761837006,corr,ctrl
EuroSAT,3_attn_v,0.9573718905448914,cross,true
EuroSAT,3_attn_v,0.04441174492239952,cross,ctrl
EuroSAT,3_attn_v,0.6506984829902649,corr,true
EuroSAT,3_attn_v,0.051929689943790436,corr,ctrl
EuroSAT,5_attn_q,0.8274572491645813,cross,true
EuroSAT,5_attn_q,0.044649720191955566,cross,ctrl
EuroSAT,5_attn_q,0.873798668384552,corr,true
EuroSAT,5_attn_q,0.0785394087433815,corr,ctrl
EuroSAT,6_mlp_c_proj,0.8498622179031372,cross,true
EuroSAT,6_mlp_c_proj,0.02392629347741604,cross,ctrl
EuroSAT,6_mlp_c_proj,0.678501546382904,corr,true
EuroSAT,6_mlp_c_proj,0.027986783534288406,corr,ctrl
EuroSAT,8_attn_o,0.8523080348968506,cross,true
EuroSAT,8_attn_o,0.05067510902881622,cross,ctrl
EuroSAT,8_attn_o,0.9679235219955444,corr,true
