dataset,layer_name,layer_idx,angular_distance,type
Cars,model.visual.transformer.resblocks.1.attn.o,9,0.17673251032829285,corr
Cars,model.visual.transformer.resblocks.1.attn.o,9,0.3165416121482849,drift
Cars,model.visual.transformer.resblocks.1.attn.o,9,0.3283296525478363,tot
Cars,model.visual.transformer.resblocks.1.attn.o,9,0.683955729007721,upper
Cars,model.visual.transformer.resblocks.1.attn.o,9,-0.20577135682106018,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.1.attn.o,9,-0.14985471963882446,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,10,0.15111404657363892,cross
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,10,0.3427354395389557,corr
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,10,0.112272709608078,drift
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,10,0.34066712856292725,tot
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,10,0.6061221957206726,upper
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,10,-0.161799818277359,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.1.mlp.c_fc,10,-0.10365524888038635,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,11,0.22462764382362366,cross
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,11,0.08503544330596924,corr
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,11,0.06261897087097168,drift
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,11,0.2301109880208969,tot
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,11,0.3722820580005646,upper
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,11,-0.1041126623749733,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.1.mlp.c_proj,11,-0.038058407604694366,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.2.attn.q,12,0.2285708338022232,cross
Cars,model.visual.transformer.resblocks.2.attn.q,12,0.16370254755020142,corr
Cars,model.visual.transformer.resblocks.2.attn.q,12,0.08551330864429474,drift
Cars,model.visual.transformer.resblocks.2.attn.q,12,0.2745212912559509,tot
Cars,model.visual.transformer.resblocks.2.attn.q,12,0.47778668999671936,upper
Cars,model.visual.transformer.resblocks.2.attn.q,12,-0.1374804675579071,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.2.attn.q,12,-0.06578493118286133,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.2.attn.k,13,0.14420603215694427,cross
Cars,model.visual.transformer.resblocks.2.attn.k,13,0.2985056936740875,corr
Cars,model.visual.transformer.resblocks.2.attn.k,13,0.08529802411794662,drift
Cars,model.visual.transformer.resblocks.2.attn.k,13,0.32556024193763733,tot
Cars,model.visual.transformer.resblocks.2.attn.k,13,0.5280097499489784,upper
Cars,model.visual.transformer.resblocks.2.attn.k,13,-0.12857402861118317,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.2.attn.k,13,-0.07387547940015793,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.2.attn.v,14,0.11772565543651581,cross
Cars,model.visual.transformer.resblocks.2.attn.v,14,0.36721548438072205,corr
Cars,model.visual.transformer.resblocks.2.attn.v,14,0.0854649767279625,drift
Cars,model.visual.transformer.resblocks.2.attn.v,14,0.2948002219200134,tot
Cars,model.visual.transformer.resblocks.2.attn.v,14,0.5704061165452003,upper
Cars,model.visual.transformer.resblocks.2.attn.v,14,-0.19862870872020721,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.2.attn.v,14,-0.0769771859049797,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.2.attn.o,15,0.18188095092773438,cross
Cars,model.visual.transformer.resblocks.2.attn.o,15,0.20338237285614014,corr
Cars,model.visual.transformer.resblocks.2.attn.o,15,0.13477277755737305,drift
Cars,model.visual.transformer.resblocks.2.attn.o,15,0.23798194527626038,tot
Cars,model.visual.transformer.resblocks.2.attn.o,15,0.5200361013412476,upper
Cars,model.visual.transformer.resblocks.2.attn.o,15,-0.16942116618156433,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.2.attn.o,15,-0.11263298988342285,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.2.mlp.c_fc,16,0.10376575589179993,cross
Cars,model.visual.transformer.resblocks.2.mlp.c_fc,16,0.3013155162334442,corr
Cars,model.visual.transformer.resblocks.2.mlp.c_fc,16,0.09793638437986374,drift
Cars,model.visual.transformer.resblocks.2.mlp.c_fc,16,0.2851965129375458,tot
Cars,model.visual.transformer.resblocks.2.mlp.c_fc,16,0.5030176565051079,upper
Cars,model.visual.transformer.resblocks.2.mlp.c_fc,16,-0.13913628458976746,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.2.mlp.c_fc,16,-0.07868485897779465,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.2.mlp.c_proj,17,0.1703873723745346,cross
Cars,model.visual.transformer.resblocks.2.mlp.c_proj,17,0.09998388588428497,corr
Cars,model.visual.transformer.resblocks.2.mlp.c_proj,17,0.08075452595949173,drift
Cars,model.visual.transformer.resblocks.2.mlp.c_proj,17,0.20542015135288239,tot
Cars,model.visual.transformer.resblocks.2.mlp.c_proj,17,0.3511257842183113,upper
Cars,model.visual.transformer.resblocks.2.mlp.c_proj,17,-0.11314453184604645,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.2.mlp.c_proj,17,-0.03256110101938248,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.3.attn.q,18,0.28737199306488037,cross
Cars,model.visual.transformer.resblocks.3.attn.q,18,0.19440457224845886,corr
Cars,model.visual.transformer.resblocks.3.attn.q,18,0.11428996175527573,drift
Cars,model.visual.transformer.resblocks.3.attn.q,18,0.3368186950683594,tot
Cars,model.visual.transformer.resblocks.3.attn.q,18,0.596066527068615,upper
Cars,model.visual.transformer.resblocks.3.attn.q,18,-0.18044431507587433,$\delta_\text{gsc}$
Cars,model.visual.transformer.resblocks.3.attn.q,18,-0.07880351692438126,$\delta_\text{ssc}$
Cars,model.visual.transformer.resblocks.3.attn.k,19,0.1164141595363617,cross
Cars,model.visual.transformer.resblocks.3.attn.k,19,0.33114948868751526,corr
Cars,model.visual.transformer.resblocks.3.attn.k,19,0.11423579603433609,drift
Cars,model.visual.transformer.resblocks.3.attn.k,19,0.3398430347442627,tot
Cars,model.visual.transformer.resblocks.3.attn.k,19,0.561799444258213,upper
Cars,model.visual.transformer.resblocks.3.attn.k,19,-0.11992913484573364,$\delta_\text{gsc}$
