dataset,layer_name,cosine_similarity,type,mode
Cars,0_attn_q,0.4098597764968872,cross,true
Cars,0_attn_q,0.0488075390458107,cross,ctrl
Cars,0_attn_q,0.5505788922309875,corr,true
Cars,0_attn_q,0.12424468994140625,corr,ctrl
Cars,1_mlp_c_fc,0.9772663712501526,cross,true
Cars,1_mlp_c_fc,0.07163427770137787,cross,ctrl
Cars,1_mlp_c_fc,0.43798941373825073,corr,true
Cars,1_mlp_c_fc,0.08925239741802216,corr,ctrl
Cars,3_attn_v,0.9945772886276245,cross,true
Cars,3_attn_v,0.04839648678898811,cross,ctrl
Cars,3_attn_v,0.5219129323959351,corr,true
Cars,3_attn_v,0.059175752103328705,corr,ctrl
Cars,5_attn_q,0.8850249648094177,cross,true
Cars,5_attn_q,0.0848211795091629,cross,ctrl
Cars,5_attn_q,0.8001697659492493,corr,true
Cars,5_attn_q,0.12710948288440704,corr,ctrl
Cars,6_mlp_c_proj,0.9817652106285095,cross,true
Cars,6_mlp_c_proj,0.02158363163471222,cross,ctrl
Cars,6_mlp_c_proj,0.5572245717048645,corr,true
Cars,6_mlp_c_proj,0.03122914955019951,corr,ctrl
Cars,8_attn_o,0.9825133681297302,cross,true
Cars,8_attn_o,0.034818511456251144,cross,ctrl
Cars,8_attn_o,0.8755500912666321,corr,true
Cars,8_attn_o,0.048347603529691696,corr,ctrl
Cars,10_attn_k,0.9353775382041931,cross,true
Cars,10_attn_k,0.047229934483766556,cross,ctrl
Cars,10_attn_k,0.6534456014633179,corr,true
Cars,10_attn_k,0.07212287187576294,corr,ctrl
Cars,11_mlp_c_proj,0.9877814054489136,cross,true
Cars,11_mlp_c_proj,0.016593804582953453,cross,ctrl
Cars,11_mlp_c_proj,0.22373272478580475,corr,true
Cars,11_mlp_c_proj,0.019602565094828606,corr,ctrl
DTD,0_attn_q,0.4769279658794403,cross,true
DTD,0_attn_q,0.03691989928483963,cross,ctrl
DTD,0_attn_q,0.5419581532478333,corr,true
DTD,0_attn_q,0.09720329940319061,corr,ctrl
DTD,1_mlp_c_fc,0.9766153693199158,cross,true
DTD,1_mlp_c_fc,0.06742352247238159,cross,ctrl
DTD,1_mlp_c_fc,0.4712121784687042,corr,true
