dataset,layer_name,layer_idx,angular_distance,type
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,0.08618669956922531,corr
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,0.07905338704586029,drift
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,0.09765959531068802,tot
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,-0.08713582158088684,$\delta_\text{gsc}$
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wi,10,-0.04305480420589447,$\delta_\text{ssc}$
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,0.07300872355699539,cross
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,0.0861472561955452,corr
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,0.18976393342018127,drift
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,0.18490655720233917,tot
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,-0.06359034031629562,$\delta_\text{gsc}$
qasc,transformer.encoder.block.1.layer.1.DenseReluDense.wo,11,-0.10042301565408707,$\delta_\text{ssc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,,cross
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,,corr
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,,drift
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,,tot
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.q,12,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,,cross
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,,corr
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,,drift
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,,tot
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.k,13,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.v,14,0.08047936856746674,cross
qasc,transformer.encoder.block.2.layer.0.SelfAttention.v,14,0.10006282478570938,corr
qasc,transformer.encoder.block.2.layer.0.SelfAttention.v,14,0.09005673229694366,drift
qasc,transformer.encoder.block.2.layer.0.SelfAttention.v,14,0.08645167201757431,tot
qasc,transformer.encoder.block.2.layer.0.SelfAttention.v,14,-0.12309706956148148,$\delta_\text{gsc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.v,14,-0.061050184071063995,$\delta_\text{ssc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.o,15,0.1131463497877121,cross
qasc,transformer.encoder.block.2.layer.0.SelfAttention.o,15,0.1325860619544983,corr
qasc,transformer.encoder.block.2.layer.0.SelfAttention.o,15,0.12692347168922424,drift
qasc,transformer.encoder.block.2.layer.0.SelfAttention.o,15,0.11405977606773376,tot
qasc,transformer.encoder.block.2.layer.0.SelfAttention.o,15,-0.17221686244010925,$\delta_\text{gsc}$
qasc,transformer.encoder.block.2.layer.0.SelfAttention.o,15,-0.08637924492359161,$\delta_\text{ssc}$
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wi,16,0.061427224427461624,cross
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wi,16,0.07781964540481567,corr
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wi,16,0.09304749220609665,drift
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wi,16,0.10619138926267624,tot
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wi,16,-0.07520830631256104,$\delta_\text{gsc}$
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wi,16,-0.05089467018842697,$\delta_\text{ssc}$
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wo,17,0.2357420027256012,cross
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wo,17,0.45008155703544617,corr
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wo,17,0.4519767463207245,drift
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wo,17,0.24758125841617584,tot
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wo,17,-0.3303636908531189,$\delta_\text{gsc}$
qasc,transformer.encoder.block.2.layer.1.DenseReluDense.wo,17,-0.5598553419113159,$\delta_\text{ssc}$
qasc,transformer.encoder.block.3.layer.0.SelfAttention.q,18,,cross
qasc,transformer.encoder.block.3.layer.0.SelfAttention.q,18,,corr
qasc,transformer.encoder.block.3.layer.0.SelfAttention.q,18,,drift
qasc,transformer.encoder.block.3.layer.0.SelfAttention.q,18,,tot
qasc,transformer.encoder.block.3.layer.0.SelfAttention.q,18,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.3.layer.0.SelfAttention.q,18,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.3.layer.0.SelfAttention.k,19,,cross
qasc,transformer.encoder.block.3.layer.0.SelfAttention.k,19,,corr
qasc,transformer.encoder.block.3.layer.0.SelfAttention.k,19,,drift
qasc,transformer.encoder.block.3.layer.0.SelfAttention.k,19,,tot
qasc,transformer.encoder.block.3.layer.0.SelfAttention.k,19,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.3.layer.0.SelfAttention.k,19,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.3.layer.0.SelfAttention.v,20,0.08310028165578842,cross
qasc,transformer.encoder.block.3.layer.0.SelfAttention.v,20,0.10665993392467499,corr
qasc,transformer.encoder.block.3.layer.0.SelfAttention.v,20,0.1275538206100464,drift
qasc,transformer.encoder.block.3.layer.0.SelfAttention.v,20,0.12048465758562088,tot
qasc,transformer.encoder.block.3.layer.0.SelfAttention.v,20,-0.12462827563285828,$\delta_\text{gsc}$
qasc,transformer.encoder.block.3.layer.0.SelfAttention.v,20,-0.07220110297203064,$\delta_\text{ssc}$
qasc,transformer.encoder.block.3.layer.0.SelfAttention.o,21,0.08816840499639511,cross
qasc,transformer.encoder.block.3.layer.0.SelfAttention.o,21,0.10550370067358017,corr
qasc,transformer.encoder.block.3.layer.0.SelfAttention.o,21,0.16794149577617645,drift
qasc,transformer.encoder.block.3.layer.0.SelfAttention.o,21,0.15165136754512787,tot
qasc,transformer.encoder.block.3.layer.0.SelfAttention.o,21,-0.1250658631324768,$\delta_\text{gsc}$
qasc,transformer.encoder.block.3.layer.0.SelfAttention.o,21,-0.08489636331796646,$\delta_\text{ssc}$
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wi,22,0.06185804679989815,cross
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wi,22,0.08025098592042923,corr
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wi,22,0.10189332813024521,drift
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wi,22,0.09781966358423233,tot
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wi,22,-0.09144778549671173,$\delta_\text{gsc}$
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wi,22,-0.05473491549491882,$\delta_\text{ssc}$
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wo,23,0.11634830385446548,cross
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wo,23,0.3907882869243622,corr
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wo,23,0.442396879196167,drift
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wo,23,0.28096407651901245,tot
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wo,23,-0.13367721438407898,$\delta_\text{gsc}$
qasc,transformer.encoder.block.3.layer.1.DenseReluDense.wo,23,-0.534892201423645,$\delta_\text{ssc}$
qasc,transformer.encoder.block.4.layer.0.SelfAttention.q,24,,cross
qasc,transformer.encoder.block.4.layer.0.SelfAttention.q,24,,corr
qasc,transformer.encoder.block.4.layer.0.SelfAttention.q,24,,drift
qasc,transformer.encoder.block.4.layer.0.SelfAttention.q,24,,tot
qasc,transformer.encoder.block.4.layer.0.SelfAttention.q,24,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.4.layer.0.SelfAttention.q,24,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.4.layer.0.SelfAttention.k,25,,cross
qasc,transformer.encoder.block.4.layer.0.SelfAttention.k,25,,corr
qasc,transformer.encoder.block.4.layer.0.SelfAttention.k,25,,drift
qasc,transformer.encoder.block.4.layer.0.SelfAttention.k,25,,tot
qasc,transformer.encoder.block.4.layer.0.SelfAttention.k,25,,$\delta_\text{gsc}$
qasc,transformer.encoder.block.4.layer.0.SelfAttention.k,25,,$\delta_\text{ssc}$
qasc,transformer.encoder.block.4.layer.0.SelfAttention.v,26,0.06997671723365784,cross
qasc,transformer.encoder.block.4.layer.0.SelfAttention.v,26,0.08542727679014206,corr
qasc,transformer.encoder.block.4.layer.0.SelfAttention.v,26,0.17104053497314453,drift
qasc,transformer.encoder.block.4.layer.0.SelfAttention.v,26,0.1601123809814453,tot
qasc,transformer.encoder.block.4.layer.0.SelfAttention.v,26,-0.0990096926689148,$\delta_\text{gsc}$
qasc,transformer.encoder.block.4.layer.0.SelfAttention.v,26,-0.06732245534658432,$\delta_\text{ssc}$
qasc,transformer.encoder.block.4.layer.0.SelfAttention.o,27,0.1313387006521225,cross
qasc,transformer.encoder.block.4.layer.0.SelfAttention.o,27,0.1357959806919098,corr
qasc,transformer.encoder.block.4.layer.0.SelfAttention.o,27,0.22588682174682617,drift
qasc,transformer.encoder.block.4.layer.0.SelfAttention.o,27,0.2109784483909607,tot
qasc,transformer.encoder.block.4.layer.0.SelfAttention.o,27,-0.19403593242168427,$\delta_\text{gsc}$
qasc,transformer.encoder.block.4.layer.0.SelfAttention.o,27,-0.0880071222782135,$\delta_\text{ssc}$
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wi,28,0.04934919625520706,cross
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wi,28,0.0705416351556778,corr
qasc,transformer.encoder.block.4.layer.1.DenseReluDense.wi,28,0.14020082354545593,drift
