dataset,step,layer_name,layer_idx,angular_distance,type
Cars,0,model.visual.transformer.resblocks.3.attn.o,21,0.2987670089696957,gst
Cars,0,model.visual.transformer.resblocks.3.mlp.c_fc,22,0.15316575122579235,cross
Cars,0,model.visual.transformer.resblocks.3.mlp.c_fc,22,0.2773459285976021,corr
Cars,0,model.visual.transformer.resblocks.3.mlp.c_fc,22,0.1922260863551292,gst
Cars,0,model.visual.transformer.resblocks.3.mlp.c_proj,23,0.1070871513291929,cross
Cars,0,model.visual.transformer.resblocks.3.mlp.c_proj,23,0.14448178437467105,corr
Cars,0,model.visual.transformer.resblocks.3.mlp.c_proj,23,0.14222481688139132,gst
Cars,0,model.visual.transformer.resblocks.4.attn.q,24,0.19714124322231308,cross
Cars,0,model.visual.transformer.resblocks.4.attn.q,24,0.23787810358506184,corr
Cars,0,model.visual.transformer.resblocks.4.attn.q,24,0.2861284328738681,gst
Cars,0,model.visual.transformer.resblocks.4.attn.k,25,0.15177713006598603,cross
Cars,0,model.visual.transformer.resblocks.4.attn.k,25,0.2857920802439023,corr
Cars,0,model.visual.transformer.resblocks.4.attn.k,25,0.3346743504040786,gst
Cars,0,model.visual.transformer.resblocks.4.attn.v,26,0.24161474839708982,cross
Cars,0,model.visual.transformer.resblocks.4.attn.v,26,0.36990687140933554,corr
Cars,0,model.visual.transformer.resblocks.4.attn.v,26,0.29869346205689545,gst
Cars,0,model.visual.transformer.resblocks.4.attn.o,27,0.17792917037980305,cross
Cars,0,model.visual.transformer.resblocks.4.attn.o,27,0.2740803544481387,corr
Cars,0,model.visual.transformer.resblocks.4.attn.o,27,0.3013070555227022,gst
Cars,0,model.visual.transformer.resblocks.4.mlp.c_fc,28,0.149917145333589,cross
Cars,0,model.visual.transformer.resblocks.4.mlp.c_fc,28,0.2257055625671167,corr
Cars,0,model.visual.transformer.resblocks.4.mlp.c_fc,28,0.16043398886992236,gst
Cars,0,model.visual.transformer.resblocks.4.mlp.c_proj,29,0.09992436808344712,cross
Cars,0,model.visual.transformer.resblocks.4.mlp.c_proj,29,0.1487465157792421,corr
Cars,0,model.visual.transformer.resblocks.4.mlp.c_proj,29,0.14748122236732272,gst
Cars,0,model.visual.transformer.resblocks.5.attn.q,30,0.19541224999632628,cross
Cars,0,model.visual.transformer.resblocks.5.attn.q,30,0.23069922474263346,corr
Cars,0,model.visual.transformer.resblocks.5.attn.q,30,0.2597874413483836,gst
Cars,0,model.visual.transformer.resblocks.5.attn.k,31,0.20043540831742243,cross
Cars,0,model.visual.transformer.resblocks.5.attn.k,31,0.3370911510382957,corr
Cars,0,model.visual.transformer.resblocks.5.attn.k,31,0.32934712424027596,gst
Cars,0,model.visual.transformer.resblocks.5.attn.v,32,0.33694507210329894,cross
Cars,0,model.visual.transformer.resblocks.5.attn.v,32,0.33888839468317977,corr
Cars,0,model.visual.transformer.resblocks.5.attn.v,32,0.29317075788306285,gst
Cars,0,model.visual.transformer.resblocks.5.attn.o,33,0.12684800002386507,cross
Cars,0,model.visual.transformer.resblocks.5.attn.o,33,0.2139770784551206,corr
