model,dataset_i,layer_name,layer_idx,kappa_i,dataset_j,kappa_j,rho
Olmo-3-7b,Math,model.layers.10.mlp.gate_proj.weight,16,2222243.25,Math,2222243.25,1.0
Olmo-3-7b,Math,model.layers.10.mlp.gate_proj.weight,16,2222243.25,Code,1158271.25,1.9185862119948156
Olmo-3-7b,Math,model.layers.10.mlp.gate_proj.weight,16,2222243.25,IF,408630.0625,5.438276460631185
Olmo-3-7b,Math,model.layers.10.mlp.up_proj.weight,17,2057094.625,Math,2057094.625,1.0
Olmo-3-7b,Math,model.layers.10.mlp.up_proj.weight,17,2057094.625,Code,1048356.625,1.9622088285081425
Olmo-3-7b,Math,model.layers.10.mlp.up_proj.weight,17,2057094.625,IF,389400.875,5.282717007248635
Olmo-3-7b,Math,model.layers.10.self_attn.k_proj.weight,18,5373233.5,Math,5373233.5,1.0
Olmo-3-7b,Math,model.layers.10.self_attn.k_proj.weight,18,5373233.5,Code,3317488.5,1.6196690659214041
Olmo-3-7b,Math,model.layers.10.self_attn.k_proj.weight,18,5373233.5,IF,1408671.625,3.814397482450887
Olmo-3-7b,Math,model.layers.10.self_attn.o_proj.weight,19,656412.625,Math,656412.625,1.0
Olmo-3-7b,Math,model.layers.10.self_attn.o_proj.weight,19,656412.625,Code,360176.96875,1.8224725119934533
Olmo-3-7b,Math,model.layers.10.self_attn.o_proj.weight,19,656412.625,IF,211787.015625,3.0993997581148927
Olmo-3-7b,Math,model.layers.10.self_attn.q_proj.weight,20,5284957.0,Math,5284957.0,1.0
Olmo-3-7b,Math,model.layers.10.self_attn.q_proj.weight,20,5284957.0,Code,3232997.75,1.6346924460433045
Olmo-3-7b,Math,model.layers.10.self_attn.q_proj.weight,20,5284957.0,IF,1198618.25,4.4092078524584455
Olmo-3-7b,Math,model.layers.10.self_attn.v_proj.weight,21,2659324.0,Math,2659324.0,1.0
Olmo-3-7b,Math,model.layers.10.self_attn.v_proj.weight,21,2659324.0,Code,1254835.875,2.119260417223886
Olmo-3-7b,Math,model.layers.10.self_attn.v_proj.weight,21,2659324.0,IF,594076.0625,4.47640322151509
Olmo-3-7b,Math,model.layers.11.mlp.down_proj.weight,22,131686.546875,Math,131686.546875,1.0
Olmo-3-7b,Math,model.layers.11.mlp.down_proj.weight,22,131686.546875,Code,76408.2265625,1.7234603235724066
Olmo-3-7b,Math,model.layers.11.mlp.down_proj.weight,22,131686.546875,IF,35809.390625,3.6774305447986104
Olmo-3-7b,Math,model.layers.11.mlp.gate_proj.weight,23,2498035.75,Math,2498035.75,1.0
Olmo-3-7b,Math,model.layers.11.mlp.gate_proj.weight,23,2498035.75,Code,1291057.75,1.9348752989554494
Olmo-3-7b,Math,model.layers.11.mlp.gate_proj.weight,23,2498035.75,IF,454631.96875,5.494632849661433
Olmo-3-7b,Math,model.layers.11.mlp.up_proj.weight,24,2416040.75,Math,2416040.75,1.0
Olmo-3-7b,Math,model.layers.11.mlp.up_proj.weight,24,2416040.75,Code,1226115.375,1.9704840174604286
Olmo-3-7b,Math,model.layers.11.mlp.up_proj.weight,24,2416040.75,IF,445419.875,5.424187122319138
Olmo-3-7b,Math,model.layers.11.self_attn.k_proj.weight,25,4653701.5,Math,4653701.5,1.0
Olmo-3-7b,Math,model.layers.11.self_attn.k_proj.weight,25,4653701.5,Code,3516636.75,1.3233386985448525
Olmo-3-7b,Math,model.layers.11.self_attn.k_proj.weight,25,4653701.5,IF,744767.9375,6.248525568409018
Olmo-3-7b,Math,model.layers.11.self_attn.o_proj.weight,26,1681937.0,Math,1681937.0,1.0
Olmo-3-7b,Math,model.layers.11.self_attn.o_proj.weight,26,1681937.0,Code,872576.6875,1.9275520697428672
Olmo-3-7b,Math,model.layers.11.self_attn.o_proj.weight,26,1681937.0,IF,399540.8125,4.2096750754342525
Olmo-3-7b,Math,model.layers.11.self_attn.q_proj.weight,27,1796959.875,Math,1796959.875,1.0
Olmo-3-7b,Math,model.layers.11.self_attn.q_proj.weight,27,1796959.875,Code,1576410.75,1.1399058747854898
Olmo-3-7b,Math,model.layers.11.self_attn.q_proj.weight,27,1796959.875,IF,618925.125,2.9033558380749205
Olmo-3-7b,Math,model.layers.11.self_attn.v_proj.weight,28,2578852.75,Math,2578852.75,1.0
Olmo-3-7b,Math,model.layers.11.self_attn.v_proj.weight,28,2578852.75,Code,1386090.5,1.8605226354267632
