model,dataset_i,layer_name,layer_idx,kappa_i,dataset_j,kappa_j,rho
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.o.weight,59,275433.875,MNIST,1685445.625,0.163419021601483
ViT-B-16,Cars,model.visual.transformer.resblocks.3.attn.o.weight,59,275433.875,SVHN,438622.65625,0.6279517737519971
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,60,5932568.5,Cars,5932568.5,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,60,5932568.5,DTD,4106922.25,1.444529050921283
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,60,5932568.5,EuroSAT,4506972.0,1.3163091539064364
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,60,5932568.5,GTSRB,9317126.0,0.6367380348832892
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,60,5932568.5,MNIST,12248699.0,0.48434274529890886
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.q.weight,60,5932568.5,SVHN,3036443.5,1.9537885358314753
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,61,5655971.5,Cars,5655971.5,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,61,5655971.5,DTD,4388524.0,1.2888095177330692
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,61,5655971.5,EuroSAT,5045908.5,1.1209025094291742
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,61,5655971.5,GTSRB,9665202.0,0.585189166248155
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,61,5655971.5,MNIST,15748904.0,0.35913429277364317
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.k.weight,61,5655971.5,SVHN,3897190.0,1.4512947790587578
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,62,8650747.0,Cars,8650747.0,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,62,8650747.0,DTD,6598360.0,1.3110450172467099
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,62,8650747.0,EuroSAT,11541688.0,0.7495218203784403
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,62,8650747.0,GTSRB,17693748.0,0.48891546324724416
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,62,8650747.0,MNIST,29374802.0,0.2944954999186037
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.v.weight,62,8650747.0,SVHN,9438418.0,0.9165462898549313
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,63,345766.40625,Cars,345766.40625,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,63,345766.40625,DTD,214680.21875,1.6106113933704012
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,63,345766.40625,EuroSAT,559127.4375,0.6184035750347164
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,63,345766.40625,GTSRB,1031961.625,0.335057426432887
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,63,345766.40625,MNIST,1333504.875,0.2592914452225006
ViT-B-16,Cars,model.visual.transformer.resblocks.4.attn.o.weight,63,345766.40625,SVHN,509567.4375,0.6785488647908354
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.q.weight,64,10962186.0,Cars,10962186.0,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.q.weight,64,10962186.0,DTD,11859707.0,0.9243218234649473
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.q.weight,64,10962186.0,EuroSAT,16809952.0,0.6521247651391271
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.q.weight,64,10962186.0,GTSRB,46547048.0,0.23550765238646285
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.q.weight,64,10962186.0,MNIST,38118020.0,0.2875853992416185
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.q.weight,64,10962186.0,SVHN,23930652.0,0.458081376136346
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.k.weight,65,14208017.0,Cars,14208017.0,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.k.weight,65,14208017.0,DTD,11485790.0,1.2370082510650116
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.k.weight,65,14208017.0,EuroSAT,17780426.0,0.7990819230090438
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.k.weight,65,14208017.0,GTSRB,45297460.0,0.31366034651832575
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.k.weight,65,14208017.0,MNIST,34981128.0,0.4061623455938871
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.k.weight,65,14208017.0,SVHN,22128620.0,0.6420652078620357
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.v.weight,66,19878702.0,Cars,19878702.0,1.0
ViT-B-16,Cars,model.visual.transformer.resblocks.10.attn.v.weight,66,19878702.0,DTD,13496875.0,1.4728373790229219
