dataset,layer_name,cosine_similarity,type
SUN397,20_attn_o,0.8171077966690063,cross
SUN397,20_attn_o,0.6005630493164062,corr
SUN397,23_mlp_c_proj,0.9762536287307739,cross
SUN397,23_mlp_c_proj,0.5319777727127075,corr
SVHN,0_attn_q,0.5231850147247314,cross
SVHN,0_attn_q,0.8220599889755249,corr
SVHN,3_attn_v,0.8226500749588013,cross
SVHN,3_attn_v,0.8724520206451416,corr
SVHN,6_mlp_c_proj,0.9846146106719971,cross
SVHN,6_mlp_c_proj,0.9725055694580078,corr
SVHN,10_attn_k,0.6913222074508667,cross
SVHN,10_attn_k,0.5347650647163391,corr
SVHN,13_mlp_c_fc,0.9587516784667969,cross
SVHN,13_mlp_c_fc,0.7539911866188049,corr
SVHN,17_attn_q,0.8169010877609253,cross
SVHN,17_attn_q,0.5411640405654907,corr
SVHN,20_attn_o,0.915357232093811,cross
SVHN,20_attn_o,0.7466654777526855,corr
SVHN,23_mlp_c_proj,0.987785279750824,cross
SVHN,23_mlp_c_proj,0.5985517501831055,corr
