dataset,num_samples,cross_0,cross_200,cross_400,cross_800,cross_1400
DTD,3384,0.22687911100510494,0.21954425889707885,0.2318969458233535,0.23657376465370905,0.23775407358386907
Cars,7330,0.1849981007464792,0.16071546037738918,0.1658059161547025,0.17442685350921935,0.1810922208389547
RESISC45,17010,0.21703198223408987,0.20272907856571185,0.21471182542085232,0.21612049003214412,0.2212531473100199
SUN397,17865,0.19496215678107254,0.1683191805041719,0.18078928810402037,0.21340101683872123,0.22095113334481767
EuroSAT,21600,0.23426463639135045,0.23293337262472225,0.23938546429274307,0.241903794887086,0.24272309902162348
GTSRB,23976,0.22776252945862593,0.20270050365723538,0.2030317625317163,0.2049375669301164,0.20615165664981316
MNIST,55000,0.18666340768198442,0.20302751063038083,0.2086585086667171,0.2096184435308336,0.2103574111985339
SVHN,68257,0.22436815071002997,0.21113796447359384,0.21556701811052456,0.21561481304144925,0.21701215352222514
