model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,identity,transformer.encoder.block.4.layer.0.SelfAttention.k.weight,25,cosine_similarity,0.22716546058654785,768,768
t5-base,actmat,transformer.encoder.block.4.layer.0.SelfAttention.v.weight,26,cosine_similarity,0.5346900224685669,768,768
t5-base,identity,transformer.encoder.block.4.layer.0.SelfAttention.v.weight,26,cosine_similarity,0.22716546058654785,768,768
t5-base,actmat,transformer.encoder.block.4.layer.0.SelfAttention.o.weight,27,cosine_similarity,0.4481443464756012,768,768
t5-base,identity,transformer.encoder.block.4.layer.0.SelfAttention.o.weight,27,cosine_similarity,0.10316595435142517,768,768
t5-base,actmat,transformer.encoder.block.4.layer.1.DenseReluDense.wi.weight,28,cosine_similarity,0.3490700423717499,768,3072
t5-base,identity,transformer.encoder.block.4.layer.1.DenseReluDense.wi.weight,28,cosine_similarity,0.08693262189626694,768,3072
t5-base,actmat,transformer.encoder.block.4.layer.1.DenseReluDense.wo.weight,29,cosine_similarity,0.012962441891431808,3072,768
t5-base,identity,transformer.encoder.block.4.layer.1.DenseReluDense.wo.weight,29,cosine_similarity,0.030763085931539536,3072,768
t5-base,actmat,transformer.encoder.block.5.layer.0.SelfAttention.q.weight,30,cosine_similarity,0.5015454292297363,768,768
t5-base,identity,transformer.encoder.block.5.layer.0.SelfAttention.q.weight,30,cosine_similarity,0.21032066643238068,768,768
t5-base,actmat,transformer.encoder.block.5.layer.0.SelfAttention.k.weight,31,cosine_similarity,0.45253321528434753,768,768
t5-base,identity,transformer.encoder.block.5.layer.0.SelfAttention.k.weight,31,cosine_similarity,0.21032066643238068,768,768
t5-base,actmat,transformer.encoder.block.5.layer.0.SelfAttention.v.weight,32,cosine_similarity,0.568832516670227,768,768
t5-base,identity,transformer.encoder.block.5.layer.0.SelfAttention.v.weight,32,cosine_similarity,0.21032066643238068,768,768
t5-base,actmat,transformer.encoder.block.5.layer.0.SelfAttention.o.weight,33,cosine_similarity,0.5579485893249512,768,768
t5-base,identity,transformer.encoder.block.5.layer.0.SelfAttention.o.weight,33,cosine_similarity,0.11690761893987656,768,768
t5-base,actmat,transformer.encoder.block.5.layer.1.DenseReluDense.wi.weight,34,cosine_similarity,0.3684596121311188,768,3072
t5-base,identity,transformer.encoder.block.5.layer.1.DenseReluDense.wi.weight,34,cosine_similarity,0.08864859491586685,768,3072
t5-base,actmat,transformer.encoder.block.5.layer.1.DenseReluDense.wo.weight,35,cosine_similarity,0.035600192844867706,3072,768
t5-base,identity,transformer.encoder.block.5.layer.1.DenseReluDense.wo.weight,35,cosine_similarity,0.04594792053103447,3072,768
t5-base,actmat,transformer.encoder.block.6.layer.0.SelfAttention.q.weight,36,cosine_similarity,0.5345991849899292,768,768
t5-base,identity,transformer.encoder.block.6.layer.0.SelfAttention.q.weight,36,cosine_similarity,0.20822836458683014,768,768
t5-base,actmat,transformer.encoder.block.6.layer.0.SelfAttention.k.weight,37,cosine_similarity,0.47848761081695557,768,768
t5-base,identity,transformer.encoder.block.6.layer.0.SelfAttention.k.weight,37,cosine_similarity,0.20822836458683014,768,768
t5-base,actmat,transformer.encoder.block.6.layer.0.SelfAttention.v.weight,38,cosine_similarity,0.582277774810791,768,768
t5-base,identity,transformer.encoder.block.6.layer.0.SelfAttention.v.weight,38,cosine_similarity,0.20822836458683014,768,768
t5-base,actmat,transformer.encoder.block.6.layer.0.SelfAttention.o.weight,39,cosine_similarity,0.5120348334312439,768,768
t5-base,identity,transformer.encoder.block.6.layer.0.SelfAttention.o.weight,39,cosine_similarity,0.114397332072258,768,768
t5-base,actmat,transformer.encoder.block.6.layer.1.DenseReluDense.wi.weight,40,cosine_similarity,0.37497255206108093,768,3072
t5-base,identity,transformer.encoder.block.6.layer.1.DenseReluDense.wi.weight,40,cosine_similarity,0.08870474994182587,768,3072
t5-base,actmat,transformer.encoder.block.6.layer.1.DenseReluDense.wo.weight,41,cosine_similarity,0.05384055897593498,3072,768
t5-base,identity,transformer.encoder.block.6.layer.1.DenseReluDense.wo.weight,41,cosine_similarity,0.06124583259224892,3072,768
t5-base,actmat,transformer.encoder.block.7.layer.0.SelfAttention.q.weight,42,cosine_similarity,0.47062718868255615,768,768
t5-base,identity,transformer.encoder.block.7.layer.0.SelfAttention.q.weight,42,cosine_similarity,0.19808274507522583,768,768
t5-base,actmat,transformer.encoder.block.7.layer.0.SelfAttention.k.weight,43,cosine_similarity,0.4439851939678192,768,768
t5-base,identity,transformer.encoder.block.7.layer.0.SelfAttention.k.weight,43,cosine_similarity,0.19808274507522583,768,768
t5-base,actmat,transformer.encoder.block.7.layer.0.SelfAttention.v.weight,44,cosine_similarity,0.5298643708229065,768,768
t5-base,identity,transformer.encoder.block.7.layer.0.SelfAttention.v.weight,44,cosine_similarity,0.19808274507522583,768,768
t5-base,actmat,transformer.encoder.block.7.layer.0.SelfAttention.o.weight,45,cosine_similarity,0.47220954298973083,768,768
t5-base,identity,transformer.encoder.block.7.layer.0.SelfAttention.o.weight,45,cosine_similarity,0.0933883935213089,768,768
t5-base,actmat,transformer.encoder.block.7.layer.1.DenseReluDense.wi.weight,46,cosine_similarity,0.3632379174232483,768,3072
t5-base,identity,transformer.encoder.block.7.layer.1.DenseReluDense.wi.weight,46,cosine_similarity,0.08253923803567886,768,3072
t5-base,actmat,transformer.encoder.block.7.layer.1.DenseReluDense.wo.weight,47,cosine_similarity,0.04947015643119812,3072,768
t5-base,identity,transformer.encoder.block.7.layer.1.DenseReluDense.wo.weight,47,cosine_similarity,0.05269710719585419,3072,768
t5-base,actmat,transformer.encoder.block.8.layer.0.SelfAttention.q.weight,48,cosine_similarity,0.49861299991607666,768,768
t5-base,identity,transformer.encoder.block.8.layer.0.SelfAttention.q.weight,48,cosine_similarity,0.1780426800251007,768,768
t5-base,actmat,transformer.encoder.block.8.layer.0.SelfAttention.k.weight,49,cosine_similarity,0.4359342157840729,768,768
t5-base,identity,transformer.encoder.block.8.layer.0.SelfAttention.k.weight,49,cosine_similarity,0.1780426800251007,768,768
t5-base,actmat,transformer.encoder.block.8.layer.0.SelfAttention.v.weight,50,cosine_similarity,0.5229991674423218,768,768
t5-base,identity,transformer.encoder.block.8.layer.0.SelfAttention.v.weight,50,cosine_similarity,0.1780426800251007,768,768
t5-base,actmat,transformer.encoder.block.8.layer.0.SelfAttention.o.weight,51,cosine_similarity,0.40578773617744446,768,768
t5-base,identity,transformer.encoder.block.8.layer.0.SelfAttention.o.weight,51,cosine_similarity,0.09840749204158783,768,768
t5-base,actmat,transformer.encoder.block.8.layer.1.DenseReluDense.wi.weight,52,cosine_similarity,0.32431334257125854,768,3072
t5-base,identity,transformer.encoder.block.8.layer.1.DenseReluDense.wi.weight,52,cosine_similarity,0.0802566260099411,768,3072
t5-base,actmat,transformer.encoder.block.8.layer.1.DenseReluDense.wo.weight,53,cosine_similarity,0.07276035100221634,3072,768
t5-base,identity,transformer.encoder.block.8.layer.1.DenseReluDense.wo.weight,53,cosine_similarity,0.06518323719501495,3072,768
t5-base,actmat,transformer.encoder.block.9.layer.0.SelfAttention.q.weight,54,cosine_similarity,0.42609861493110657,768,768
t5-base,identity,transformer.encoder.block.9.layer.0.SelfAttention.q.weight,54,cosine_similarity,0.16667266190052032,768,768
t5-base,actmat,transformer.encoder.block.9.layer.0.SelfAttention.k.weight,55,cosine_similarity,0.3936098515987396,768,768
t5-base,identity,transformer.encoder.block.9.layer.0.SelfAttention.k.weight,55,cosine_similarity,0.16667266190052032,768,768
t5-base,actmat,transformer.encoder.block.9.layer.0.SelfAttention.v.weight,56,cosine_similarity,0.4566953182220459,768,768
t5-base,identity,transformer.encoder.block.9.layer.0.SelfAttention.v.weight,56,cosine_similarity,0.16667266190052032,768,768
t5-base,actmat,transformer.encoder.block.9.layer.0.SelfAttention.o.weight,57,cosine_similarity,0.38475480675697327,768,768
t5-base,identity,transformer.encoder.block.9.layer.0.SelfAttention.o.weight,57,cosine_similarity,0.08340274542570114,768,768
t5-base,actmat,transformer.encoder.block.9.layer.1.DenseReluDense.wi.weight,58,cosine_similarity,0.3075171709060669,768,3072
t5-base,identity,transformer.encoder.block.9.layer.1.DenseReluDense.wi.weight,58,cosine_similarity,0.07527155429124832,768,3072
t5-base,actmat,transformer.encoder.block.9.layer.1.DenseReluDense.wo.weight,59,cosine_similarity,0.04364185780286789,3072,768
t5-base,identity,transformer.encoder.block.9.layer.1.DenseReluDense.wo.weight,59,cosine_similarity,0.0488569550216198,3072,768
t5-base,actmat,transformer.encoder.block.10.layer.0.SelfAttention.q.weight,60,cosine_similarity,0.4416847229003906,768,768
t5-base,identity,transformer.encoder.block.10.layer.0.SelfAttention.q.weight,60,cosine_similarity,0.16691835224628448,768,768
t5-base,actmat,transformer.encoder.block.10.layer.0.SelfAttention.k.weight,61,cosine_similarity,0.3748604953289032,768,768
t5-base,identity,transformer.encoder.block.10.layer.0.SelfAttention.k.weight,61,cosine_similarity,0.16691835224628448,768,768
t5-base,actmat,transformer.encoder.block.10.layer.0.SelfAttention.v.weight,62,cosine_similarity,0.4411331117153168,768,768
t5-base,identity,transformer.encoder.block.10.layer.0.SelfAttention.v.weight,62,cosine_similarity,0.16691835224628448,768,768
t5-base,actmat,transformer.encoder.block.10.layer.0.SelfAttention.o.weight,63,cosine_similarity,0.29980143904685974,768,768
t5-base,identity,transformer.encoder.block.10.layer.0.SelfAttention.o.weight,63,cosine_similarity,0.07366999983787537,768,768
