dataset,layer_name,cosine_similarity,type,mode
Cars,0_attn_q,0.5585793852806091,cross,true
Cars,0_attn_q,0.06424922496080399,cross,ctrl
Cars,0_attn_q,0.7082580327987671,corr,true
Cars,0_attn_q,0.12121264636516571,corr,ctrl
Cars,3_attn_v,0.9498305916786194,cross,true
Cars,3_attn_v,0.07205431908369064,cross,ctrl
Cars,3_attn_v,0.7812600135803223,corr,true
Cars,3_attn_v,0.07775396853685379,corr,ctrl
Cars,6_mlp_c_proj,0.9522133469581604,cross,true
Cars,6_mlp_c_proj,0.036635082215070724,cross,ctrl
Cars,6_mlp_c_proj,0.9506991505622864,corr,true
Cars,6_mlp_c_proj,0.05464837700128555,corr,ctrl
Cars,10_attn_k,0.851161777973175,cross,true
Cars,10_attn_k,0.10724874585866928,cross,ctrl
Cars,10_attn_k,0.6906422972679138,corr,true
Cars,10_attn_k,0.1382293999195099,corr,ctrl
Cars,13_mlp_c_fc,0.981237530708313,cross,true
Cars,13_mlp_c_fc,0.051518987864255905,cross,ctrl
Cars,13_mlp_c_fc,0.8336548805236816,corr,true
Cars,13_mlp_c_fc,0.06099279969930649,corr,ctrl
Cars,17_attn_q,0.9246026277542114,cross,true
Cars,17_attn_q,0.059335291385650635,cross,ctrl
Cars,17_attn_q,0.5561601519584656,corr,true
Cars,17_attn_q,0.0686553344130516,corr,ctrl
Cars,20_attn_o,0.9101917743682861,cross,true
Cars,20_attn_o,0.0903792604804039,cross,ctrl
Cars,20_attn_o,0.5412509441375732,corr,true
Cars,20_attn_o,0.0970856249332428,corr,ctrl
Cars,23_mlp_c_proj,0.9571925401687622,cross,true
Cars,23_mlp_c_proj,0.024252116680145264,cross,ctrl
Cars,23_mlp_c_proj,0.34783458709716797,corr,true
Cars,23_mlp_c_proj,0.021422799676656723,corr,ctrl
DTD,0_attn_q,0.35083550214767456,cross,true
DTD,0_attn_q,0.059184588491916656,cross,ctrl
DTD,0_attn_q,0.6669632792472839,corr,true
DTD,0_attn_q,0.19098758697509766,corr,ctrl
DTD,3_attn_v,0.9784069061279297,cross,true
DTD,3_attn_v,0.05676281824707985,cross,ctrl
DTD,3_attn_v,0.57548987865448,corr,true
DTD,3_attn_v,0.06820934265851974,corr,ctrl
DTD,6_mlp_c_proj,0.9895620346069336,cross,true
DTD,6_mlp_c_proj,0.027317775413393974,cross,ctrl
DTD,6_mlp_c_proj,0.9905109405517578,corr,true
DTD,6_mlp_c_proj,0.03475911170244217,corr,ctrl
DTD,10_attn_k,0.913058876991272,cross,true
DTD,10_attn_k,0.09348104149103165,cross,ctrl
DTD,10_attn_k,0.6073763370513916,corr,true
DTD,10_attn_k,0.11434600502252579,corr,ctrl
DTD,13_mlp_c_fc,0.9776154160499573,cross,true
DTD,13_mlp_c_fc,0.06696264445781708,cross,ctrl
DTD,13_mlp_c_fc,0.9213762283325195,corr,true
DTD,13_mlp_c_fc,0.07847581803798676,corr,ctrl
DTD,17_attn_q,0.7527148127555847,cross,true
DTD,17_attn_q,0.052663180977106094,cross,ctrl
DTD,17_attn_q,0.7059193253517151,corr,true
DTD,17_attn_q,0.1049608439207077,corr,ctrl
DTD,20_attn_o,0.8824745416641235,cross,true
DTD,20_attn_o,0.10656745731830597,cross,ctrl
DTD,20_attn_o,0.7107681632041931,corr,true
DTD,20_attn_o,0.1768663078546524,corr,ctrl
DTD,23_mlp_c_proj,0.9790952205657959,cross,true
DTD,23_mlp_c_proj,0.01645664870738983,cross,ctrl
DTD,23_mlp_c_proj,0.5658441781997681,corr,true
DTD,23_mlp_c_proj,0.023215342313051224,corr,ctrl
EuroSAT,0_attn_q,0.49073776602745056,cross,true
EuroSAT,0_attn_q,0.032083041965961456,cross,ctrl
EuroSAT,0_attn_q,0.5804559588432312,corr,true
EuroSAT,0_attn_q,0.06992160528898239,corr,ctrl
EuroSAT,3_attn_v,0.9320744276046753,cross,true
EuroSAT,3_attn_v,0.052822861820459366,cross,ctrl
EuroSAT,3_attn_v,0.8046545386314392,corr,true
EuroSAT,3_attn_v,0.06827477365732193,corr,ctrl
EuroSAT,6_mlp_c_proj,0.9898552894592285,cross,true
EuroSAT,6_mlp_c_proj,0.021925093606114388,cross,ctrl
EuroSAT,6_mlp_c_proj,0.9551243185997009,corr,true
EuroSAT,6_mlp_c_proj,0.027205854654312134,corr,ctrl
EuroSAT,10_attn_k,0.8982440233230591,cross,true
EuroSAT,10_attn_k,0.06235431507229805,cross,ctrl
EuroSAT,10_attn_k,0.5613429546356201,corr,true
EuroSAT,10_attn_k,0.09919563680887222,corr,ctrl
EuroSAT,13_mlp_c_fc,0.964117169380188,cross,true
EuroSAT,13_mlp_c_fc,0.044454075396060944,cross,ctrl
EuroSAT,13_mlp_c_fc,0.8472931385040283,corr,true
EuroSAT,13_mlp_c_fc,0.05297629535198212,corr,ctrl
EuroSAT,17_attn_q,0.861621081829071,cross,true
EuroSAT,17_attn_q,0.05881739407777786,cross,ctrl
