dataset,layer_name,cosine_similarity,type,mode
Cars,0_attn_q,0.5155472159385681,cross,true
Cars,0_attn_q,0.03947671130299568,cross,ctrl
Cars,0_attn_q,0.6578359603881836,corr,true
Cars,0_attn_q,0.12519347667694092,corr,ctrl
Cars,1_mlp_c_fc,0.9715281128883362,cross,true
Cars,1_mlp_c_fc,0.05077699199318886,cross,ctrl
Cars,1_mlp_c_fc,0.45239782333374023,corr,true
Cars,1_mlp_c_fc,0.08651700615882874,corr,ctrl
Cars,3_attn_v,0.9940127730369568,cross,true
Cars,3_attn_v,0.04232282191514969,cross,ctrl
Cars,3_attn_v,0.5158090591430664,corr,true
Cars,3_attn_v,0.05818936228752136,corr,ctrl
Cars,5_attn_q,0.8645603060722351,cross,true
Cars,5_attn_q,0.06930714100599289,cross,ctrl
Cars,5_attn_q,0.8186635971069336,corr,true
Cars,5_attn_q,0.12852463126182556,corr,ctrl
Cars,6_mlp_c_proj,0.9793238043785095,cross,true
Cars,6_mlp_c_proj,0.020956939086318016,cross,ctrl
Cars,6_mlp_c_proj,0.5701633095741272,corr,true
Cars,6_mlp_c_proj,0.03179643675684929,corr,ctrl
Cars,8_attn_o,0.9808024764060974,cross,true
Cars,8_attn_o,0.033598948270082474,cross,ctrl
Cars,8_attn_o,0.9075440764427185,corr,true
Cars,8_attn_o,0.0484452098608017,corr,ctrl
Cars,10_attn_k,0.9290757775306702,cross,true
Cars,10_attn_k,0.04590975493192673,cross,ctrl
Cars,10_attn_k,0.6769870519638062,corr,true
Cars,10_attn_k,0.0662100687623024,corr,ctrl
Cars,11_mlp_c_proj,0.9904911518096924,cross,true
Cars,11_mlp_c_proj,0.01506764441728592,cross,ctrl
Cars,11_mlp_c_proj,0.21357844769954681,corr,true
Cars,11_mlp_c_proj,0.02058122679591179,corr,ctrl
DTD,0_attn_q,0.4606802761554718,cross,true
DTD,0_attn_q,0.03553251177072525,cross,ctrl
DTD,0_attn_q,0.6165198087692261,corr,true
