dataset,layer_name,step,cosine_similarity,type
Cars,image_encoder.model.visual.transformer.resblocks.8.attn.o,2000,1.000017762184143,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.attn,2000,1.000016212463379,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.mlp.c_fc,2000,1.0000288486480713,cross
Cars,image_encoder.model.visual.transformer.resblocks.8.mlp.c_proj,2000,1.001644492149353,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.q,2000,1.0000160932540894,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.k,2000,1.0000160932540894,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.v,2000,1.0000160932540894,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn.o,2000,1.0000239610671997,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.attn,2000,1.0000160932540894,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.mlp.c_fc,2000,1.0000189542770386,cross
Cars,image_encoder.model.visual.transformer.resblocks.9.mlp.c_proj,2000,1.0029255151748657,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.attn.q,2000,1.0000189542770386,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.attn.k,2000,1.0000189542770386,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.attn.v,2000,1.0000189542770386,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.attn.o,2000,1.0000189542770386,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.attn,2000,1.0000189542770386,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.mlp.c_fc,2000,1.000018835067749,cross
Cars,image_encoder.model.visual.transformer.resblocks.10.mlp.c_proj,2000,1.0029652118682861,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.attn.q,2000,1.0000660419464111,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.attn.k,2000,1.0000660419464111,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.attn.v,2000,1.0000660419464111,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.attn.o,2000,1.00002121925354,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.attn,2000,1.0000660419464111,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.mlp.c_fc,2000,1.0001165866851807,cross
Cars,image_encoder.model.visual.transformer.resblocks.11.mlp.c_proj,2000,1.0008654594421387,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.attn.q,1800,0.9978403449058533,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.attn.k,1800,0.9978403449058533,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.attn.v,1800,0.9978403449058533,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.attn.o,1800,0.9963964819908142,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.attn,1800,0.9978403449058533,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,1800,0.9991227984428406,cross
Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,1800,0.9994829297065735,cross
Cars,image_encoder.model.visual.transformer.resblocks.1.attn.q,1800,0.9978205561637878,cross
