dataset,layer_name,cosine_similarity,type,mode
Cars,0_attn_q,0.5436728596687317,cross,true
Cars,0_attn_q,0.050222061574459076,cross,ctrl
Cars,0_attn_q,0.6585581302642822,corr,true
Cars,0_attn_q,0.13128554821014404,corr,ctrl
Cars,1_mlp_c_fc,0.9643987417221069,cross,true
Cars,1_mlp_c_fc,0.05187129229307175,cross,ctrl
Cars,1_mlp_c_fc,0.44739121198654175,corr,true
Cars,1_mlp_c_fc,0.0879017785191536,corr,ctrl
Cars,3_attn_v,0.9935532808303833,cross,true
Cars,3_attn_v,0.042278703302145004,cross,ctrl
Cars,3_attn_v,0.5184745192527771,corr,true
Cars,3_attn_v,0.058754369616508484,corr,ctrl
Cars,5_attn_q,0.8791881203651428,cross,true
Cars,5_attn_q,0.0680006816983223,cross,ctrl
Cars,5_attn_q,0.8292618989944458,corr,true
Cars,5_attn_q,0.12984894216060638,corr,ctrl
Cars,6_mlp_c_proj,0.9775474071502686,cross,true
Cars,6_mlp_c_proj,0.020231567323207855,cross,ctrl
Cars,6_mlp_c_proj,0.5741577744483948,corr,true
Cars,6_mlp_c_proj,0.0314374603331089,corr,ctrl
Cars,8_attn_o,0.9760438799858093,cross,true
Cars,8_attn_o,0.0309122484177351,cross,ctrl
Cars,8_attn_o,0.9145194292068481,corr,true
Cars,8_attn_o,0.048982344567775726,corr,ctrl
Cars,10_attn_k,0.9463141560554504,cross,true
Cars,10_attn_k,0.039955008774995804,cross,ctrl
Cars,10_attn_k,0.6787914037704468,corr,true
Cars,10_attn_k,0.06935757398605347,corr,ctrl
Cars,11_mlp_c_proj,0.9874460697174072,cross,true
Cars,11_mlp_c_proj,0.01583338901400566,cross,ctrl
Cars,11_mlp_c_proj,0.22195644676685333,corr,true
Cars,11_mlp_c_proj,0.02077716775238514,corr,ctrl
DTD,0_attn_q,0.7657555341720581,cross,true
DTD,0_attn_q,0.03126475587487221,cross,ctrl
DTD,0_attn_q,0.6319373250007629,corr,true
DTD,0_attn_q,0.12245278060436249,corr,ctrl
DTD,1_mlp_c_fc,0.9867292642593384,cross,true
DTD,1_mlp_c_fc,0.05594366788864136,cross,ctrl
DTD,1_mlp_c_fc,0.43486806750297546,corr,true
DTD,1_mlp_c_fc,0.07047323137521744,corr,ctrl
DTD,3_attn_v,0.9915381669998169,cross,true
DTD,3_attn_v,0.05263277515769005,cross,ctrl
DTD,3_attn_v,0.5504953265190125,corr,true
DTD,3_attn_v,0.06605519354343414,corr,ctrl
