subset_id,method,task,size,retained,zs,relres
m4_07,mean,RESISC45,4,0.8450960901259111,0.6022222222222222,0.5291682474527393
m4_09,mean,CIFAR10,4,0.9745970210161192,0.8983,0.4988818076556136
m4_09,mean,Cars,4,0.6615263571990558,0.5964432284541724,0.5561833455506086
m4_09,mean,MNIST,4,0.9334804856024882,0.4825,0.5467279160660937
m4_09,mean,STL10,4,0.998468606431853,0.97125,0.4978422914531437
m4_04,mean,EMNIST,4,0.8008167764888633,0.171975,0.522051045221345
m4_04,mean,Flowers102,4,0.7895878524945771,0.6631972678484307,0.6141135305934573
m4_04,mean,STL10,4,0.9991066870852475,0.97125,0.5711592715741234
m4_04,mean,SVHN,4,0.7319189210505561,0.3160725261216964,0.5276620792369544
m4_08,mean,CIFAR100,4,0.8717689368397392,0.642,0.5360425254078045
m4_08,mean,Flowers102,4,0.8183297180043384,0.6631972678484307,0.5818508922258878
m4_08,mean,PCAM,4,0.9029987866181314,0.606201171875,0.58101114405303
m4_08,mean,RenderedSST2,4,0.9287812041116007,0.585941790225151,0.565606623728599
m4_05,mean,Cars,4,0.8649881982690796,0.5964432284541724,0.5361779708716674
m4_05,mean,DTD,4,0.7452574525745258,0.4441489361702128,0.5200793322845879
m4_05,mean,Food101,4,0.9548556898782173,0.8272079207920792,0.5481223227592336
m4_05,mean,GTSRB,4,0.7719606746063464,0.32557403008709423,0.5378322204256291
m8_20,mean,CIFAR10,8,0.9505203019791879,0.8983,0.6488533665961072
m8_20,mean,DTD,8,0.6476964769647697,0.4441489361702128,0.684622358559389
m8_20,mean,EuroSAT,8,0.713053263315829,0.45444444444444443,0.6909884212235773
m8_20,mean,FER2013,8,0.7600767754318617,0.492059069378657,0.716533840043195
m8_20,mean,FashionMNIST,8,0.7935625917383099,0.6302,0.6979813350592781
m8_20,mean,Flowers102,8,0.7680766449746927,0.6631972678484307,0.6963875439281825
m8_20,mean,KMNIST,8,0.1411310792973906,0.0977,0.725394928204235
m8_20,mean,RESISC45,8,0.746520874751491,0.6022222222222222,0.6881208846227668
m4_11,mean,Cars,4,0.850354051927616,0.5964432284541724,0.5506886496945275
m4_11,mean,FER2013,4,0.8157389635316697,0.492059069378657,0.5492311015270633
m4_11,mean,FashionMNIST,4,0.8695743342419795,0.6302,0.5359949746751157
m4_11,mean,GTSRB,4,0.7520581887938614,0.32557403008709423,0.5326550859699433
m8_17,mean,CIFAR100,8,0.7938862665767589,0.642,0.6582175679297693
m8_17,mean,Cars,8,0.8026750590086547,0.5964432284541724,0.7232526547791645
m8_17,mean,DTD,8,0.6355013550135502,0.4441489361702128,0.6621576817337761
m8_17,mean,EMNIST,8,0.4910680730589031,0.171975,0.7005726150838283
m8_17,mean,Flowers102,8,0.7794649313087492,0.6631972678484307,0.6868648976349039
