subset_id,task,weight
m4_00,CIFAR100,0.5954135790999847
m4_00,Flowers102,1.8041880032400177
m4_00,MNIST,0.3526131240280013
m4_00,OxfordIIITPet,1.2477852936319964
m4_01,Food101,2.354860299759335
m4_01,MNIST,0.34720903753581384
m4_01,RESISC45,0.8920856624814
m4_01,RenderedSST2,0.4058450002234515
m4_02,FER2013,1.3602689402206385
m4_02,KMNIST,0.6375039419154552
m4_02,RESISC45,1.4303171248660933
m4_02,RenderedSST2,0.5719099929978133
m4_03,DTD,1.1900901723599682
m4_03,EMNIST,0.3407274000429462
m4_03,Food101,2.0827663385489807
m4_03,SVHN,0.3864160890481056
m4_04,EMNIST,0.3060412526548328
m4_04,Flowers102,2.1987349234615894
m4_04,STL10,1.1600963168141667
m4_04,SVHN,0.33512750706941125
m4_05,Cars,0.5849212136771921
m4_05,DTD,1.0745582245157157
m4_05,Food101,1.8642120270833376
m4_05,GTSRB,0.4763085347237547
m4_06,DTD,1.01166098847847
m4_06,KMNIST,0.4343036370648702
m4_06,RESISC45,0.8058494025921098
m4_06,STL10,1.7481859718645505
m4_07,FER2013,0.6067793123772754
m4_07,GTSRB,0.4667956569742748
m4_07,OxfordIIITPet,2.2196644685597637
m4_07,RESISC45,0.706760562088686
m4_08,CIFAR100,0.534181801151794
m4_08,Flowers102,2.68361628220249
m4_08,PCAM,0.4641684282436877
m4_08,RenderedSST2,0.3180334884020286
m4_09,CIFAR10,0.9179378704253819
m4_09,Cars,0.5294574191200486
m4_09,MNIST,0.3558871111346723
m4_09,STL10,2.196717599319897
m4_10,CIFAR10,1.4855186037680987
m4_10,FashionMNIST,0.8370000740511099
m4_10,GTSRB,0.648268883252516
m4_10,RESISC45,1.029212438928275
m4_11,Cars,0.8812062674811207
m4_11,FER2013,1.2741754018729743
m4_11,FashionMNIST,1.1240007059534016
m4_11,GTSRB,0.7206176246925038
m8_12,CIFAR100,0.981562734065294
m8_12,Cars,0.5805339454229955
m8_12,EMNIST,0.36099615004469865
m8_12,EuroSAT,0.6277061821812541
m8_12,FashionMNIST,0.6753604460218224
m8_12,Flowers102,2.4363438457376723
m8_12,PCAM,0.6269343746712353
m8_12,STL10,1.7105623218550283
m8_13,DTD,0.9154397493872964
m8_13,EuroSAT,0.6291487474323348
m8_13,Flowers102,1.6224994779236783
m8_13,Food101,1.3154303793086903
m8_13,PCAM,0.6153378595502476
m8_13,RESISC45,0.8196305371837488
m8_13,STL10,1.1394160877906676
m8_13,SUN397,0.9430971614233373
m8_14,Cars,0.6409873520327263
m8_14,FER2013,0.8016568292541704
m8_14,Food101,1.9948498365980878
m8_14,MNIST,0.42552967725269975
m8_14,PCAM,0.6544810308266408
m8_14,STL10,1.7871731487265696
m8_14,SUN397,1.2638882532372788
m8_14,SVHN,0.43143387207182704
m8_15,Cars,0.6112494894646646
m8_15,DTD,1.0369674636366024
m8_15,EuroSAT,0.6403388889267754
m8_15,FashionMNIST,0.6298396153151992
m8_15,Food101,1.689479927337637
m8_15,GTSRB,0.5121428588683431
m8_15,OxfordIIITPet,1.7207522320508248
m8_15,SUN397,1.1592295243999535
m8_16,CIFAR100,0.9930549375338723
m8_16,Cars,0.583410302164606
m8_16,Flowers102,2.545349216868198
m8_16,GTSRB,0.5115468630619455
m8_16,MNIST,0.374548096731377
m8_16,RESISC45,0.7807288942401226
m8_16,RenderedSST2,0.4220896677544747
m8_16,STL10,1.7892720216454046
m8_17,CIFAR100,1.027106641127793
m8_17,Cars,0.6042004253965039
m8_17,DTD,1.1465944577832015
m8_17,EMNIST,0.36043580970223427
m8_17,Flowers102,3.1675617523525776
m8_17,MNIST,0.4067395568996038
m8_17,RESISC45,0.8531524505971384
m8_17,RenderedSST2,0.43420890614094737
m8_18,FER2013,0.6707397178385501
m8_18,FashionMNIST,0.6090647900486647
m8_18,Flowers102,1.7367216472103317
m8_18,GTSRB,0.47945684100613667
m8_18,OxfordIIITPet,1.6379564940274354
m8_18,PCAM,0.5861141252087103
m8_18,STL10,1.383065619100104
m8_18,SUN397,0.8968807655600689
m8_19,Cars,0.6228336853484466
m8_19,DTD,1.1021973935042457
m8_19,EuroSAT,0.7302495138957924
m8_19,Food101,1.8542976674843843
m8_19,GTSRB,0.5284638529997201
m8_19,KMNIST,0.4752944727629779
m8_19,RESISC45,0.9649727145170655
m8_19,STL10,1.7216906994873669
m8_20,CIFAR10,0.9872171506554998
m8_20,DTD,1.0634549970807625
m8_20,EuroSAT,0.7282323795045261
m8_20,FER2013,0.7762440335238442
m8_20,FashionMNIST,0.7298576082605263
m8_20,Flowers102,2.311209126961948
m8_20,KMNIST,0.4935613552064503
m8_20,RESISC45,0.910223348806443
m8_21,CIFAR100,1.2223349936908567
m8_21,Cars,0.6558982309023891
m8_21,DTD,1.2516548499837483
m8_21,EuroSAT,0.7104809020925557
