task,zs_acc,zs_over_expert,tv_norm,tv_cos,expert_acc,cov_align_hat,relres_actmat_hat,relres_mean_hat,relres_regmean_hat,cov_align_real,relres_actmat_real,relres_mean_real,relres_regmean_real,retained_ace,merged_ace,retained_actmat,merged_actmat,retained_actmat_gd,merged_actmat_gd,retained_isoc,merged_isoc,retained_mean,merged_mean,retained_regmean,merged_regmean,retained_sum04,merged_sum04,retained_ties,merged_ties,retained_tsv,merged_tsv,retained_wudi,merged_wudi
CIFAR10,0.908,0.921172770619864,2.236976375909307,0.03366579758459363,0.9857,0.30776502909097947,0.3945003050893646,0.8152902505684473,0.9053030477402124,0.552124595963968,4.002446717950211,0.8864480489357007,0.5425991895335357,0.9691589733184539,0.9553,0.9592168002434818,0.9455,0.9699705792837576,0.9561,0.9699705792837576,0.9561,0.9584051942781779,0.9447,0.974231510601603,0.9603,0.5325149639849853,0.5249,0.9341584660647255,0.9208,0.9703763822664097,0.9565,0.9135639646951405,0.9005
CIFAR100,0.6691,0.7382765088822686,2.5534707585548504,0.03330485755255001,0.9063,0.326233713247688,0.38424436949119467,0.7907126872115665,0.900255323302349,0.5742454667417713,3.408205612775375,0.8814340949380491,0.6047048231503336,0.826437162087609,0.749,0.8082312699988966,0.7325,0.8223546287101401,0.7453,0.8322851153039832,0.7543,0.8225753061900034,0.7455,0.8423259406377579,0.7634,0.22509102946044354,0.204,0.694030674169701,0.629,0.8074588988193755,0.7318,0.598477325388944,0.5424
Cars,0.6470588235294118,0.7395877754086709,2.608165418141782,0.0160039301400026,0.8748911826887203,0.24802874749640752,0.1925965025717785,0.8483032213688865,0.7870873818317556,0.5169398947509976,2.7439326816222245,0.9130602451436999,0.37617732422622085,0.8036958066808813,0.7031463748290013,0.7566453447050462,0.6619823405049123,0.7857853589196873,0.6874766820047258,0.5344705046197583,0.46760353189901754,0.7532338308457711,0.6589976371098122,0.8176261549395877,0.7153339136923268,0.08372423596304192,0.07324959582141524,0.5671641791044776,0.4962069394353936,0.6783226723525231,0.5934585250590723,0.45103056147832266,0.3946026613605273
DTD,0.44680851063829785,0.45454545454545453,2.7365378211660794,0.021228437415312575,0.9829787234042553,0.2689398363401449,0.2685861399969143,0.8222415775875886,0.8441535832354727,0.5091819988974855,2.1843356666744835,0.9047352863914032,0.40358546963661296,0.808982683982684,0.7952127659574468,0.8057359307359307,0.7920212765957447,0.7927489177489178,0.7792553191489362,0.7564935064935066,0.7436170212765958,0.49242424242424243,0.48404255319148937,0.6228354978354979,0.6122340425531915,0.18290043290043292,0.1797872340425532,0.512987012987013,0.5042553191489362,0.7234848484848485,0.7111702127659575,0.5303030303030304,0.5212765957446809
EMNIST,0.198775,0.1991982963798071,2.7812929705986424,0.038966190732112445,0.997875,0.23562067113503574,0.06489697981521775,0.8375705002299224,0.4715839596151873,0.4154906798135734,1.4627862317909543,0.8783668426303127,0.15624913896035508,0.9832644369284731,0.981175,0.9813102843542528,0.979225,0.9834648628335213,0.981375,0.8755355129650507,0.873675,0.30291870224226486,0.302275,0.8855067017412,0.883625,0.477539772015533,0.476525,0.6908179882249781,0.68935,0.9571840160340725,0.95515,0.9451083552549168,0.9431
EuroSAT,0.5581481481481482,0.5600148643626904,2.1070279406379053,0.02580992350084953,0.9966666666666667,0.24449028170188314,0.25377723851723055,0.8553942988672271,0.7063970977087015,0.4636003509938597,2.140507078994867,0.8985661060149759,0.24518688407991468,0.9390561129691565,0.9359259259259259,0.9349684132292827,0.9318518518518518,0.933853586027499,0.9307407407407408,0.9238201412114455,0.9207407407407407,0.6395392047565961,0.6374074074074074,0.9227053140096617,0.9196296296296296,0.24489037532515792,0.24407407407407408,0.7160906726124118,0.7137037037037037,0.9364548494983277,0.9333333333333333,0.7800074321813453,0.7774074074074074
FER2013,0.4772917247144051,0.6406133133881825,2.6262115232954937,0.024310940804620186,0.7450543326831987,0.2583370494876841,0.25666380570527064,0.8550173505751177,0.8202485610952752,0.4423007005716712,1.9644349085414272,0.8919078734804204,0.3414921398694784,0.8818249813014212,0.6570075229869045,0.862004487658938,0.6422401783226526,0.8743455497382199,0.6514349400947339,0.8145100972326103,0.6068542769573697,0.7120418848167539,0.5305098913346336,0.7890800299177263,0.58790749512399,0.4184741959611069,0.3117860128169406,0.6611817501869858,0.49261632766787405,0.8410620792819746,0.6266369462245751,0.6813762154076289,0.5076623014767344
FashionMNIST,0.6732,0.7035217891106699,2.2284853366495256,0.026040514881967312,0.9569,0.25228041749344104,0.26734434383434863,0.8551605090755673,0.7451248144387813,0.45803565595554985,3.103647014902797,0.895904705406271,0.28337396527986464,0.9093949210993835,0.8702,0.9035426899362525,0.8646,0.9098129376110357,0.8706,0.9130525655763403,0.8737,0.7737485630682411,0.7404,0.8959138885985997,0.8573,0.5815654718361375,0.5565,0.841049221444247,0.8048,0.9277876476120808,0.8878,0.829031246734246,0.7933
Flowers102,0.7114978045210604,0.759944415494181,0.5301600665670558,0.0197155171045634,0.936249796714913,0.23992711793745686,0.8039339570738839,0.8009800132510266,1.0416641956933845,0.44413085751526865,18.308201633123346,1.086099291373484,1.2644165552352984,0.6986277575125934,0.6540900959505611,0.6626715303109257,0.6204260855423646,0.6901163800590585,0.6461213205399252,0.6562445718256036,0.6144088469669865,0.7616814313010248,0.7131240852171085,0.8132708007642869,0.7614246218897381,0.05558450581900295,0.05204098227354041,0.538474900121591,0.5041470157749227,0.728330727809623,0.6818994958529843,0.1928087545596665,0.18051715726134332
Food101,0.8768316831683168,0.9469632164242943,2.4788678823003107,0.015625762844795485,0.925940594059406,0.26098928767071267,0.500529502709644,0.8770507513197566,0.9361662782857137,0.4997123174494601,2.437331869106234,0.9130991031141599,0.4020834327382144,0.9562874251497006,0.8854653465346535,0.9311377245508982,0.8621782178217822,0.9452523524379811,0.8752475247524752,0.8796407185628742,0.8144950495049504,0.9423011120615911,0.8725148514851485,0.9667664670658682,0.8951683168316832,0.08802395209580838,0.08150495049504951,0.7850299401197605,0.7268910891089109,0.9157827202737382,0.8479603960396039,0.6093242087254063,0.5641980198019801
